outer_fold,inner_fold,dimension,levels,k,effective_k,seed,train_rows,validation_rows,train_subjects,validation_subjects,subject_overlap_count,preprocessing_seconds,encoding_seconds,prototype_training_seconds,inference_seconds,model_bytes,codebook_hashes,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
2,1,2000,51,100,100,42,216,119,18,10,0,0.0412036000052467,0.5713653999991948,0.0006664999964414164,0.000486999997519888,394208,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6958894059236777,0.7051724137931035,0.7058823529411765,0.058823529411764705,0.8,0.4666666666666667,0.6206896551724138,0.9333333333333333
2,1,5000,51,100,100,42,216,119,18,10,0,0.0412036000052467,0.5713653999991948,0.0015627000102540478,0.002621300009195693,898208,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6748476304397357,0.6795977011494253,0.680672268907563,0.07563025210084033,0.7333333333333333,0.5,0.5517241379310345,0.9333333333333333
2,1,2000,51,200,200,42,216,119,18,10,0,0.0412036000052467,1.1324051999981748,0.0007018000032985583,0.0005612000095425174,595808,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7199902194275155,0.7310344827586207,0.7310924369747899,0.06722689075630252,0.7333333333333333,0.4666666666666667,0.7241379310344828,1.0
2,1,5000,51,200,200,42,216,119,18,10,0,0.0412036000052467,1.1324051999981748,0.0015336999931605533,0.002755899986368604,1399808,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6950344684662366,0.7054597701149425,0.7058823529411765,0.07563025210084033,0.7,0.4666666666666667,0.6551724137931034,1.0
2,1,2000,51,all,1414,42,216,119,18,10,0,0.0412036000052467,7.742014799994649,0.0006774999928893521,0.0005069000035291538,3043232,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6235403061039582,0.6364942528735632,0.6386554621848739,0.05042016806722689,0.7666666666666667,0.5,0.3793103448275862,0.9
2,1,5000,51,all,1414,42,216,119,18,10,0,0.0412036000052467,7.742014799994649,0.0015075999981490895,0.0027495999966049567,7489232,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6662547758907983,0.6790229885057472,0.680672268907563,0.058823529411764705,0.8,0.4666666666666667,0.4827586206896552,0.9666666666666667
2,2,2000,21,50,50,42,227,108,19,9,0,0.047193399994284846,0.2802716999867698,0.0008783999946899712,0.0007075000030454248,237504,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.725342589253516,0.7314814814814815,0.7314814814814815,0.046296296296296294,0.5555555555555556,0.7407407407407407,0.6296296296296297,1.0
2,2,5000,21,50,50,42,227,108,19,9,0,0.047193399994284846,0.2802716999867698,0.0016380000015487894,0.002123300000675954,501504,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7364131722340678,0.7407407407407407,0.7407407407407407,0.05555555555555555,0.5925925925925926,0.7037037037037037,0.6666666666666666,1.0
2,2,2000,21,100,100,42,227,108,19,9,0,0.047193399994284846,0.547360899989144,0.000712799999746494,0.0004592000041157007,338304,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6858040913924288,0.6944444444444444,0.6944444444444444,0.05555555555555555,0.5925925925925926,0.7407407407407407,0.4444444444444444,1.0
2,2,5000,21,100,100,42,227,108,19,9,0,0.047193399994284846,0.547360899989144,0.0015824000001884997,0.0020183000015094876,752304,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6623800637833043,0.6759259259259259,0.6759259259259259,0.06481481481481481,0.5925925925925926,0.7407407407407407,0.37037037037037035,1.0
