model,model_slug,outer_fold,train_rows,test_rows,train_subjects,test_subjects,subject_overlap_count,inner_candidate_count,selected_k,selected_C,selected_epsilon,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,best_estimator_n_iter,best_estimator_converged,search_convergence_warning_count_total,fit_and_search_time_seconds,prediction_time_seconds
Linear SVR,linear_svr,1,335,84,28,7,0,48,200,0.1,0.0,0.29056268981526623,0.39491550954303056,0.39491550954303056,1.2735015386348352,0.6408604251406582,-0.29744493512423387,0.6714383323908278,0.796608808182193,0.8088473998690687,1504,True,20,112.35310070001287,0.015039999998407438
Linear SVR,linear_svr,2,335,84,28,7,0,48,100,1.0,0.1,0.2746288571355842,0.33736905137506706,0.33736905137506706,0.6594410107201725,0.5017001859963081,0.6453139032079298,0.7947038598205618,0.8802925286424461,0.881073414566106,16200,True,18,109.95864710000751,0.018277700000908226
Linear SVR,linear_svr,3,335,84,28,7,0,48,100,1.0,0.2,0.3382059345902106,0.3317236485608037,0.3317236485608037,0.5881641235452896,0.5152803301583485,0.7232503710193611,0.7875889450815228,0.8699460027612593,0.8680641574125257,19796,True,16,113.97679570000037,0.011933899993891828
Linear SVR,linear_svr,4,335,84,28,7,0,48,100,0.1,0.2,0.3245487713889712,0.2780865075253326,0.2780865075253326,1.6385602129606023,0.4149083421294326,-1.1479036571979955,0.8622808541051246,0.9063950276119329,0.911934399766668,1376,True,18,115.5724854,0.01278759998967871
Linear SVR,linear_svr,5,336,83,28,7,0,48,200,0.1,0.1,0.309119144238382,0.24500449415822131,0.24500449415822131,0.47212640927339533,0.37368871455401803,0.8233746085931998,0.8893487018233837,0.9312380736884598,0.933479471936015,2173,True,20,135.75229570000374,0.013420899995253421
