model,model_slug,strategy,outer_fold,train_rows,test_rows,train_subjects,test_subjects,subject_overlap_count,train_target_mean,train_target_median,prediction_value,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_time_seconds,prediction_time_seconds
Dummy Regressor Mean,dummy_mean,mean,1,335,84,28,7,0,2.5014925373134327,2.0,2.5014925373134327,0.9999999999999997,0.9999999999999997,1.1180349849927023,1.1180349849927023,-1.7821341056212248e-06,-1.7821341056212248e-06,,,0.00037009999505244195,2.9999995604157448e-05
Dummy Regressor Mean,dummy_mean,mean,2,335,84,28,7,0,2.4985074626865673,2.0,2.4985074626865673,0.9880952380952385,0.9880952380952385,1.1073519045275575,1.1073519045275575,-0.0001463951787616935,-0.0001463951787616935,,,0.00043149999692104757,2.920000406447798e-05
Dummy Regressor Mean,dummy_mean,mean,3,335,84,28,7,0,2.5014925373134327,2.0,2.5014925373134327,0.9999999999999997,0.9999999999999997,1.1180349849927023,1.1180349849927023,-1.7821341056212248e-06,-1.7821341056212248e-06,,,0.00035200000274926424,2.469999890308827e-05
Dummy Regressor Mean,dummy_mean,mean,4,335,84,28,7,0,2.5014925373134327,2.0,2.5014925373134327,0.9999999999999997,0.9999999999999997,1.1180349849927023,1.1180349849927023,-1.7821341056212248e-06,-1.7821341056212248e-06,,,0.0003890999942086637,2.579999272711575e-05
Dummy Regressor Mean,dummy_mean,mean,5,336,83,28,7,0,2.5029761904761907,2.5,2.5029761904761907,1.0060599541021227,1.0060599541021227,1.1234290846321433,1.1234290846321433,-6.418732137070116e-05,-6.418732137070116e-05,,,0.0003971999976783991,2.819999644998461e-05
