model,model_slug,outer_fold,train_rows,test_rows,train_subjects,test_subjects,subject_overlap_count,inner_candidate_count,selected_k,selected_C,selected_gamma,selected_epsilon,support_vector_count,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_status,best_estimator_n_iter,best_estimator_converged,search_convergence_warning_count_total,fit_and_search_time_seconds,prediction_time_seconds
RBF SVR,rbf_svr,1,335,84,28,7,0,108,100,10.0,scale,0.0,334,0.3374197703520727,0.35963938915375726,0.35963938915375726,0.5461167233506244,0.5414167080665515,0.761405219581422,0.7654943585811028,0.8725808720275731,0.8727797156121275,0,2922,True,0,24.558865599989076,0.014426599998841994
RBF SVR,rbf_svr,2,335,84,28,7,0,108,50,10.0,0.01,0.0,335,0.30766715802199446,0.3746163637855212,0.3746163637855212,0.5750129944775715,0.5580338795655487,0.7303207208900407,0.7460118857239108,0.8648056878104456,0.8655772253077973,0,3764,True,0,27.554078700006357,0.014163699990604073
RBF SVR,rbf_svr,3,335,84,28,7,0,108,50,10.0,0.01,0.0,335,0.36422559234712026,0.29369712712100027,0.29369712712100027,0.4639685697911244,0.44983577180694084,0.8277865329967828,0.8381182227222831,0.8989295646907106,0.8994497020816725,0,3760,True,0,28.41890400000557,0.018686600000364706
RBF SVR,rbf_svr,4,335,84,28,7,0,108,50,10.0,0.01,0.0,335,0.35068134074739277,0.23946696025059935,0.23946696025059935,0.4269620619665682,0.4213745191250372,0.8541627181130051,0.857954811705715,0.930375522722343,0.9321421886724284,0,3161,True,0,27.1364237999951,0.016286300000501797
RBF SVR,rbf_svr,5,336,83,28,7,0,108,50,10.0,0.01,0.0,336,0.32574169697646865,0.286587446635525,0.286587446635525,0.411146150289202,0.39215432821753876,0.8660542293687853,0.878142974111372,0.9354110156949318,0.9372077972809266,0,3794,True,0,24.566741100003128,0.01351530000101775
