outer_fold,seed,selected_k,selected_n_estimators,selected_max_depth,selected_max_features,selected_min_samples_leaf,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_time_seconds,prediction_time_seconds
1,42,all,500,,0.3,1,0.1643746239236435,0.1758333333333332,0.1758333333333332,0.4131792531554498,0.4131792531554498,0.8634263238095238,0.8634263238095238,0.9116970734878432,0.9116970734878432,1.5661552999954438,0.069717499995022
1,43,all,500,,0.3,1,0.1643746239236435,0.1721428571428571,0.1721428571428571,0.4135791511738887,0.4135791511738887,0.8631618285714285,0.8631618285714285,0.9117386165479822,0.9117386165479822,1.5715455999888943,0.0702084999938961
1,44,all,500,,0.3,1,0.1643746239236435,0.1727142857142857,0.1727142857142857,0.4111131231181997,0.4111131231181997,0.8647887999999999,0.8647887999999999,0.916546399037664,0.916546399037664,1.75769900000887,0.0720887000061338
1,45,all,500,,0.3,1,0.1643746239236435,0.173095238095238,0.173095238095238,0.4070949345230001,0.4070949345230001,0.8674189714285714,0.8674189714285714,0.9130191770930204,0.9130191770930204,1.6412359999958426,0.0611075999913737
1,46,all,500,,0.3,1,0.1643746239236435,0.1762857142857143,0.1762857142857143,0.4164974132429819,0.4164974132429819,0.8612239238095238,0.8612239238095238,0.911477493267832,0.911477493267832,1.5803999000054318,0.0697750000108499
2,42,all,200,,0.3,1,0.1673070339246809,0.1914285714285714,0.1914285714285714,0.3714178111994503,0.3714178111994503,0.8874831117789851,0.8874831117789851,0.9318339860380352,0.9318339860380352,0.6359640999871772,0.0382901999983005
2,43,all,200,,0.3,1,0.1673070339246809,0.1836309523809524,0.1836309523809524,0.3680672654621189,0.3680672654621189,0.8895039764189111,0.8895039764189111,0.9323744406656724,0.9323744406656724,0.7308785000059288,0.0407078999996883
2,44,all,200,,0.3,1,0.1673070339246809,0.1895833333333333,0.1895833333333333,0.3739727994947022,0.3739727994947022,0.8859297769044041,0.8859297769044041,0.9370786682639104,0.9370786682639104,0.7838816000003135,0.0390217999956803
2,45,all,200,,0.3,1,0.1673070339246809,0.1888690476190476,0.1888690476190476,0.3702930789060393,0.3702930789060393,0.8881635302277193,0.8881635302277193,0.937066371832156,0.937066371832156,0.7968688000109978,0.0395832000067457
2,46,all,200,,0.3,1,0.1673070339246809,0.1941666666666666,0.1941666666666666,0.3878374107056425,0.3878374107056425,0.8773149462489885,0.8773149462489885,0.93118657053795,0.93118657053795,0.7738899999967543,0.0372413000004598
3,42,all,200,,0.3,1,0.1565556593007573,0.1388095238095238,0.1388095238095238,0.2586480417938815,0.2586480417938815,0.9464809523809524,0.9464809523809524,0.9500050370369496,0.9500050370369496,0.6718938999983948,0.0380263999977614
3,43,all,200,,0.3,1,0.1565556593007573,0.1380357142857142,0.1380357142857142,0.2592037946150811,0.2592037946150811,0.9462507142857144,0.9462507142857144,0.9500242797887932,0.9500242797887932,0.7316851000068709,0.0370231999986572
