outer_fold,seed,selected_k,selected_n_estimators,selected_learning_rate,selected_max_depth,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_time_seconds,prediction_time_seconds
1,42,all,300,0.03,3,0.1177914672003282,0.1256184670414411,0.1208096469719906,0.336339436536432,0.3360456321638005,0.9095006267442844,0.9096586664829054,0.9252782573538484,0.9268749423332798,27.073129600001263,0.0109345999953802
1,43,all,300,0.03,3,0.1177914672003282,0.1265705784691098,0.1217846925778901,0.3377665649798619,0.337451388404805,0.9087309980653636,0.9089012483709356,0.9239608227206912,0.925296755104492,26.800531600005343,0.0097479000105522
1,44,all,300,0.03,3,0.1177914672003282,0.1246415480609063,0.1197359810011796,0.333588073543736,0.3332850749297095,0.9109751977515032,0.9111368470632784,0.9243999675984104,0.9263057456893674,25.76212430000305,0.0105962000088766
1,45,all,300,0.03,3,0.1177914672003282,0.1237395924981763,0.1191543047362763,0.3325617850293367,0.3322819912670969,0.911522127310481,0.9116709426236584,0.9243999675984104,0.9255673854084882,29.075156999999308,0.0197196999943116
1,46,all,300,0.03,3,0.1177914672003282,0.1248581554649112,0.1201543345849085,0.3365716483060599,0.3362811347875706,0.9093756204452336,0.909531998708787,0.9252782573538484,0.9262352770104816,28.217004600010117,0.0113448999909451
2,42,all,300,0.1,3,0.1276676046358623,0.1385572780472794,0.1368648248439567,0.2661895227899198,0.2652866395938083,0.9422071415355112,0.9425985296389948,0.954558256926624,0.9550437990020424,24.188380000006877,0.0101018999994266
2,43,all,300,0.1,3,0.1276676046358623,0.1425268914499403,0.1405642860150484,0.2717012234814291,0.2707759843864888,0.939789054333574,0.940198435379534,0.9536798675749102,0.9536775446054006,24.03081399999792,0.0098606999963521
2,44,all,300,0.1,3,0.1276676046358623,0.1385531124831849,0.1372122343963148,0.268688887499685,0.2678800452836339,0.9411167638326652,0.941470746171176,0.9541086052346752,0.954516669848086,24.18806179999956,0.0110298999934457
2,45,all,300,0.1,3,0.1276676046358623,0.1354919245564659,0.1340913306068905,0.2644823640505064,0.2635933260859218,0.9429460527307524,0.9433289733410626,0.9549974516024808,0.9554056917513654,25.4743720000115,0.0204451000026892
2,46,all,300,0.1,3,0.1276676046358623,0.137126849725622,0.1354564512609688,0.2670014372719506,0.2661035359341767,0.9418540516105296,0.942244473008952,0.9541190622507671,0.9542639953986068,29.289612699998543,0.0099844999931519
3,42,200,300,0.1,3,0.1062745501167298,0.1138823708701403,0.1072823769511997,0.2627189753965037,0.2605761019502729,0.9447829919732892,0.9456800760739208,0.9577749783050512,0.9588628957119124,5.296035599996685,0.0097056999948108
3,43,200,300,0.1,3,0.1062745501167298,0.1119803960091616,0.1054739049252163,0.2495976343083457,0.2480732671325405,0.950160816758142,0.9507677233073496,0.9577749783050512,0.9580514631402948,5.299365700004273,0.0099986999994143
