candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,200,,sqrt,1,0.22327731092436975,0.3211111111111111,0.28296296296296297,0.2757837949994813,0.0402617970639722,51
2,50,500,,sqrt,1,0.22225210084033611,0.3190925925925927,0.28294444444444444,0.27476304595912443,0.03995598971857592,49
3,50,200,,sqrt,2,0.22882948179271714,0.32949926513815403,0.29013800705467374,0.28282225132851496,0.041422550469423614,55
4,50,500,,sqrt,2,0.22366735360810994,0.3301962301587301,0.28974927983539084,0.2812042878674103,0.043907957142063726,53
5,50,200,,0.3,1,0.1771008403361345,0.29703703703703704,0.2267592592592593,0.23363237887747693,0.04920435380285058,25
6,50,500,,0.3,1,0.1803361344537815,0.2976296296296297,0.23120370370370366,0.23638982259570496,0.048025082852700775,27
7,50,200,,0.3,2,0.17576155462184873,0.3059226006760729,0.2433692497060553,0.24168446833465898,0.053151377176792705,29
8,50,500,,0.3,2,0.18204997332266243,0.30638785273368613,0.24026898148148151,0.24290226917927668,0.05079486665128073,31
9,50,200,12,sqrt,1,0.22327731092436975,0.3211111111111111,0.2830864197530864,0.2758249472628558,0.04026917639907386,52
10,50,500,12,sqrt,1,0.22225210084033611,0.31909259259259265,0.2829938271604938,0.2747795068644742,0.03995936689646051,50
11,50,200,12,sqrt,2,0.2288294817927171,0.32949926513815403,0.2901380070546737,0.28282225132851496,0.04142255046942363,55
12,50,500,12,sqrt,2,0.2236673536081099,0.3301962301587301,0.28974927983539084,0.2812042878674103,0.04390795714206374,53
13,50,200,12,0.3,1,0.1771008403361345,0.29703703703703704,0.2267592592592593,0.23363237887747693,0.04920435380285058,25
14,50,500,12,0.3,1,0.1803361344537815,0.2976296296296297,0.23120370370370366,0.23638982259570496,0.048025082852700775,27
15,50,200,12,0.3,2,0.17576155462184873,0.305922600676073,0.2433692497060553,0.24168446833465904,0.05315137717679275,30
16,50,500,12,0.3,2,0.18204997332266246,0.30638785273368613,0.24026898148148151,0.24290226917927668,0.05079486665128072,31
17,100,200,,sqrt,1,0.2239915966386555,0.255787037037037,0.27023148148148146,0.250003371719058,0.01931527592265159,43
18,100,500,,sqrt,1,0.2184201680672269,0.25166666666666665,0.2605925925925926,0.2435598091088287,0.018146059300101908,33
