candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,200,,sqrt,1,0.2160504201680672,0.35388888888888886,0.23768518518518517,0.26920816474738035,0.06052621770871511,52
2,50,500,,sqrt,1,0.2105546218487395,0.35370370370370374,0.24175925925925926,0.2686725282705675,0.06146087072621136,50
3,50,200,,sqrt,2,0.22317773776177136,0.364035310111699,0.2512884483058094,0.2795004987264265,0.060866815062508184,55
4,50,500,,sqrt,2,0.2165094237695078,0.3643398515579072,0.25223416239110685,0.2776944792395073,0.06297951860481311,53
5,50,200,,0.3,1,0.16999999999999996,0.3430555555555555,0.20953703703703705,0.2408641975308642,0.07404097768855206,36
6,50,500,,0.3,1,0.16727731092436973,0.3426666666666667,0.20538888888888887,0.23844428882664173,0.07532087415720422,32
7,50,200,,0.3,2,0.17463717153528083,0.3462961860670194,0.216694995590829,0.24587611773104304,0.07305412484144194,43
8,50,500,,0.3,2,0.17452163532079504,0.35001768077601403,0.21380473985890658,0.24611468531857186,0.07520046508858831,47
9,50,200,12,sqrt,1,0.2160504201680672,0.35379091002700896,0.23768518518518517,0.26917550512675376,0.060480524822249325,51
10,50,500,12,sqrt,1,0.2105546218487395,0.3532091868112748,0.24175925925925926,0.2685076893064245,0.061232834920782055,49
11,50,200,12,sqrt,2,0.22317773776177144,0.36403531011169893,0.2512884483058094,0.2795004987264266,0.06086681506250813,56
12,50,500,12,sqrt,2,0.2165094237695078,0.3643398515579072,0.25223416239110685,0.2776944792395073,0.06297951860481311,53
13,50,200,12,0.3,1,0.16999999999999996,0.342771767056299,0.20953703703703705,0.24076960136444536,0.07391042181266134,35
14,50,500,12,0.3,1,0.16727731092436973,0.3423139371858382,0.20538888888888887,0.23832671233303226,0.07515819003132623,31
15,50,200,12,0.3,2,0.17463717153528083,0.3466412037037037,0.216694995590829,0.24599112360993783,0.07321222169480072,46
16,50,500,12,0.3,2,0.17452163532079504,0.35018322819156156,0.2138047398589066,0.24616986779042105,0.07527671145841945,48
17,100,200,,sqrt,1,0.19819327731092434,0.30166666666666664,0.2130555555555556,0.2376384998443822,0.04567950991142473,29
18,100,500,,sqrt,1,0.19556302521008406,0.30407407407407405,0.2161296296296296,0.23858890963792923,0.047060077739411725,33
19,100,200,,sqrt,2,0.2063948746165132,0.31375970017636684,0.21569642857142862,0.24528366778810287,0.04856854252993379,41
20,100,500,,sqrt,2,0.2039203147925837,0.3104144400352734,0.2233338330393887,0.24588952928908195,0.046309244957371376,44
21,100,200,,0.3,1,0.14789915966386555,0.25805555555555554,0.15587962962962965,0.18727811494968358,0.05015314246888833,17
22,100,500,,0.3,1,0.14815126050420166,0.2589814814814814,0.15949999999999995,0.18887758066189433,0.049786987286691356,19
23,100,200,,0.3,2,0.1504770908363345,0.25950308641975306,0.16219080687830692,0.1907236613781315,0.048868938789855876,21
24,100,500,,0.3,2,0.15017869147659066,0.2634684082892416,0.16508709582598483,0.19291139853060568,0.050261210024043004,23
25,100,200,12,sqrt,1,0.19819327731092434,0.30166666666666664,0.2130555555555556,0.2376384998443822,0.04567950991142473,29
26,100,500,12,sqrt,1,0.19551260504201678,0.30407407407407405,0.2163148148148148,0.23863383131030189,0.04704609096474046,34
27,100,200,12,sqrt,2,0.20639487461651318,0.31375970017636684,0.21569642857142862,0.24528366778810287,0.0485685425299338,41
28,100,500,12,sqrt,2,0.2039203147925837,0.3104144400352734,0.2233338330393887,0.24588952928908195,0.046309244957371376,44
29,100,200,12,0.3,1,0.14789915966386555,0.25805555555555554,0.15587962962962965,0.18727811494968358,0.05015314246888833,17
30,100,500,12,0.3,1,0.14815126050420166,0.2589814814814814,0.15949999999999995,0.18887758066189433,0.049786987286691356,19
