candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,200,,sqrt,1,0.2889915966386554,0.3399999999999999,0.20518518518518522,0.2780589272746135,0.05557817927901675,50
2,50,500,,sqrt,1,0.29144537815126054,0.3418703703703703,0.21187037037037038,0.28172870629733376,0.053515170957636964,52
3,50,200,,sqrt,2,0.2899940809657196,0.3491190292475014,0.21996571869488543,0.2863596096360355,0.05278921255370164,53
4,50,500,,sqrt,2,0.2945551287181539,0.3560202968841858,0.22182539682539695,0.29080027414257886,0.05484913855361127,55
5,50,200,,0.3,1,0.2628571428571428,0.3305555555555556,0.15763888888888886,0.2503505291005291,0.07114471141516482,40
6,50,500,,0.3,1,0.26408403361344535,0.3325925925925926,0.15948148148148145,0.25205270256250645,0.07118253012583839,42
7,50,200,,0.3,2,0.2636370548219288,0.33380724573780135,0.1632485670194004,0.25356428919304347,0.06999362436252089,45
8,50,500,,0.3,2,0.2668665266106442,0.3410934891240447,0.16501100088183415,0.257657005538841,0.07217973919400117,47
9,50,200,12,sqrt,1,0.2889915966386554,0.33984712679116746,0.20518518518518522,0.27800796953833606,0.05552140534654117,49
10,50,500,12,sqrt,1,0.2914634146341464,0.3415201264366316,0.21187037037037038,0.2816179704803828,0.05338516891390291,51
11,50,200,12,sqrt,2,0.2899940809657196,0.3491190292475014,0.21996571869488543,0.2863596096360355,0.05278921255370164,53
12,50,500,12,sqrt,2,0.2945551287181539,0.3561401381540271,0.22182539682539687,0.290840221232526,0.05489664736432329,56
13,50,200,12,0.3,1,0.2628571428571428,0.3305324074074073,0.15763888888888886,0.2503428130511463,0.07113601302808706,39
14,50,500,12,0.3,1,0.26408403361344535,0.33255762108262105,0.15948148148148145,0.252041045392516,0.07116934123986898,41
15,50,200,12,0.3,2,0.2636370548219288,0.33380724573780135,0.16324856701940035,0.25356428919304347,0.06999362436252092,45
16,50,500,12,0.3,2,0.2668665266106442,0.34109348912404464,0.16501100088183415,0.257657005538841,0.07217973919400116,47
17,100,200,,sqrt,1,0.23499999999999996,0.2709259259259259,0.20680555555555558,0.23757716049382716,0.02624038606507882,25
18,100,500,,sqrt,1,0.23394957983193276,0.2727962962962963,0.20933333333333337,0.23869306982052083,0.026124859680177907,27
19,100,200,,sqrt,2,0.24335745965052688,0.282957451499118,0.21218672839506172,0.24616721318156887,0.028960258382211224,35
20,100,500,,sqrt,2,0.24337399626517273,0.27988725749559085,0.21522182539682552,0.24616102638586304,0.026473007382366333,34
21,100,200,,0.3,1,0.19180672268907564,0.21018518518518522,0.14629629629629626,0.18276273472351903,0.026855077975497167,13
22,100,500,,0.3,1,0.18993277310924372,0.21762962962962965,0.14881481481481482,0.18545907251789606,0.028271070988262693,15
23,100,200,,0.3,2,0.19294527811124448,0.21883772580300356,0.14949933862433867,0.1870941141795289,0.028608041685878778,19
24,100,500,,0.3,2,0.19252324929971992,0.22261314734648063,0.155267791005291,0.19013472921716387,0.027545453663826668,23
25,100,200,12,sqrt,1,0.23499999999999996,0.2709259259259259,0.20680555555555558,0.23757716049382716,0.02624038606507882,25
26,100,500,12,sqrt,1,0.23394957983193276,0.2727962962962963,0.20933333333333337,0.23869306982052083,0.026124859680177907,27
27,100,200,12,sqrt,2,0.24335745965052683,0.282957451499118,0.21218672839506178,0.24616721318156887,0.028960258382211203,35
28,100,500,12,sqrt,2,0.24337399626517267,0.27988725749559085,0.21522182539682552,0.246161026385863,0.026473007382366333,33
29,100,200,12,0.3,1,0.19180672268907564,0.21018518518518522,0.14629629629629626,0.18276273472351903,0.026855077975497167,13
30,100,500,12,0.3,1,0.18993277310924372,0.21762962962962965,0.14881481481481482,0.18545907251789606,0.028271070988262693,15
31,100,200,12,0.3,2,0.19294527811124448,0.21883772580300356,0.14949933862433867,0.1870941141795289,0.028608041685878778,19
32,100,500,12,0.3,2,0.19252324929971992,0.2226131473464807,0.155267791005291,0.19013472921716387,0.027545453663826686,23
33,200,200,,sqrt,1,0.272563025210084,0.25407407407407406,0.20921296296296302,0.24528335408237367,0.0265990622034924,31
34,200,500,,sqrt,1,0.265781512605042,0.25307407407407406,0.20392592592592593,0.24092717086834733,0.026673193084335713,29
35,200,200,,sqrt,2,0.2776845238095237,0.2644421296296296,0.2164066358024691,0.2528444297472075,0.02632647427430332,43
36,200,500,,sqrt,2,0.2710067093504069,0.26344953703703694,0.21134027777777759,0.24859884138840713,0.026525813026672562,37
37,200,200,,0.3,1,0.21340336134453783,0.19814814814814813,0.13569444444444445,0.18241531797904345,0.033618550437655915,9
38,200,500,,0.3,1,0.21235294117647052,0.1973333333333333,0.13827777777777778,0.18265468409586053,0.03197269163638794,11
39,200,200,,0.3,2,0.22081967787114845,0.1988337742504409,0.1439027777777778,0.1878520766331224,0.03234708273205953,21
40,200,500,,0.3,2,0.2149781179138322,0.19841017048794818,0.14559537037037035,0.18632788625738358,0.029585780462254196,17
41,200,200,12,sqrt,1,0.272563025210084,0.25407407407407406,0.20921296296296302,0.24528335408237367,0.0265990622034924,31
42,200,500,12,sqrt,1,0.265781512605042,0.25307407407407406,0.20392592592592593,0.24092717086834733,0.026673193084335713,29
43,200,200,12,sqrt,2,0.27768452380952374,0.2644421296296296,0.2164066358024691,0.2528444297472075,0.026326474274303336,43
44,200,500,12,sqrt,2,0.2710067093504069,0.2634495370370369,0.21134027777777756,0.24859884138840713,0.026525813026672566,37
45,200,200,12,0.3,1,0.21340336134453783,0.19814814814814813,0.13569444444444445,0.18241531797904345,0.033618550437655915,9
46,200,500,12,0.3,1,0.21235294117647052,0.1973333333333333,0.13827777777777778,0.18265468409586053,0.03197269163638794,11
47,200,200,12,0.3,2,0.22081967787114845,0.1988337742504409,0.1439027777777778,0.1878520766331224,0.03234708273205953,21
48,200,500,12,0.3,2,0.2149781179138322,0.19841017048794818,0.14559537037037035,0.18632788625738358,0.029585780462254196,17
49,all,200,,sqrt,1,0.316344537815126,0.3131481481481482,0.277037037037037,0.30217657433343703,0.01782416857964876,61
50,all,500,,sqrt,1,0.3121176470588235,0.31451851851851853,0.2787037037037037,0.3017799564270152,0.016346786141911863,57
51,all,200,,sqrt,2,0.3106919767907163,0.3176305665784833,0.27780956055261613,0.30204403464060525,0.017368905315760658,59
52,all,500,,sqrt,2,0.314673349339736,0.3194388521457967,0.28248805114638453,0.3055334175439724,0.01641126012931259,63
53,all,200,,0.3,1,0.16386554621848737,0.20249999999999999,0.1355555555555555,0.16730703392468096,0.02743808227892685,1
54,all,500,,0.3,1,0.16606722689075631,0.2022777777777778,0.13592592592592592,0.16809031019815335,0.027125777538398493,3
55,all,200,,0.3,2,0.16532477991196473,0.20244356261022922,0.14319852292768956,0.17032228848329448,0.024443472212253462,7
56,all,500,,0.3,2,0.1652605909030279,0.2005020282186949,0.13986130952380957,0.1685413095485108,0.024864922107005392,6
57,all,200,12,sqrt,1,0.316344537815126,0.3131481481481482,0.277037037037037,0.30217657433343703,0.01782416857964876,61
58,all,500,12,sqrt,1,0.3121176470588235,0.31451851851851853,0.27879629629629626,0.30181082062454606,0.016303216318326007,58
59,all,200,12,sqrt,2,0.3106919767907163,0.3176305665784833,0.27780956055261613,0.30204403464060525,0.017368905315760658,59
60,all,500,12,sqrt,2,0.314673349339736,0.3194388521457967,0.28248805114638453,0.3055334175439724,0.01641126012931259,63
61,all,200,12,0.3,1,0.16386554621848737,0.20249999999999999,0.1355555555555555,0.16730703392468096,0.02743808227892685,1
62,all,500,12,0.3,1,0.16606722689075631,0.2022777777777778,0.13592592592592592,0.16809031019815335,0.027125777538398493,3
63,all,200,12,0.3,2,0.1653247799119647,0.20244356261022922,0.14319852292768956,0.17032228848329448,0.024443472212253462,7
64,all,500,12,0.3,2,0.16526059090302786,0.2005020282186949,0.13986130952380957,0.16854130954851076,0.024864922107005392,5
