candidate_index,feature_selection__k,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,100,0.03,1,0.3548313464995214,0.4433007451162614,0.4059496595414796,0.40136058371908745,0.03626295938998595,32
2,50,300,0.03,1,0.24866782629153045,0.39170209524152916,0.3118415960708734,0.317403839201311,0.058525803055841485,28
3,50,100,0.03,3,0.1619578016784664,0.37945625559796514,0.21936328584175055,0.2535924477060607,0.09203304118917631,21
4,50,300,0.03,3,0.12946755717420194,0.3477230719794538,0.1816059704499147,0.21959886653452346,0.09306435963138016,14
5,50,100,0.1,1,0.24235105825369546,0.38545924809984167,0.3008075971346513,0.3095393011627295,0.058749016965878524,27
6,50,300,0.1,1,0.22060512198931073,0.3562046314765282,0.25642657818508047,0.2777454438836398,0.05737407817297751,24
7,50,100,0.1,3,0.13010421588611426,0.35537703175299534,0.17906247199683514,0.22151457321198156,0.09674225572910804,15
8,50,300,0.1,3,0.12967216318086555,0.345466031445919,0.1756390368026235,0.21692574380980267,0.09280873711320252,13
9,100,100,0.03,1,0.3552004362747341,0.41285257729077507,0.3710431240706156,0.37969871254537496,0.024319152257931177,31
10,100,300,0.03,1,0.24391352298975183,0.34419194891501337,0.26283365038364753,0.2836463740961375,0.0435033928007259,26
11,100,100,0.03,3,0.15099885969029125,0.231132000633364,0.15941712701004976,0.18051599577790167,0.035955544466399696,12
12,100,300,0.03,3,0.11744541423317245,0.20271124057454856,0.1296982735182189,0.1499516427753133,0.037640532321046236,7
13,100,100,0.1,1,0.23714434034975077,0.3464835681147426,0.2573730456234638,0.2803336513626524,0.04749848238974965,25
14,100,300,0.1,1,0.20504232333696717,0.32391955165661085,0.22091432838362254,0.24995873445906688,0.052698083434135456,19
15,100,100,0.1,3,0.11739804214440856,0.20677930479292073,0.13710832972394127,0.15376189222042352,0.0383428253699764,10
16,100,300,0.1,3,0.11781705208761972,0.20432455855996515,0.1358939470256272,0.152678519224404,0.03725746964871774,9
17,200,100,0.03,1,0.35547598108888157,0.3937422563581823,0.33663848089635623,0.3619522394478067,0.02375804053013523,30
18,200,300,0.03,1,0.24647380521018686,0.2830854246458851,0.23058310365419302,0.253380777836755,0.021983374483562024,20
19,200,100,0.03,3,0.15339269700521788,0.2200333760215461,0.13509537845947187,0.16950715049541196,0.036499977771038465,11
20,200,300,0.03,3,0.11903241463304377,0.1803223902235313,0.10123799085886881,0.13353093190514795,0.033874678921326916,4
21,200,100,0.1,1,0.23923367250889685,0.28067641092676043,0.22586903135620762,0.24859303826395496,0.023333245371506276,17
22,200,300,0.1,1,0.21819972737195814,0.261513162217217,0.19913668284397523,0.2262831908110501,0.02609869831528597,16
23,200,100,0.1,3,0.12064129840126767,0.18270954548802149,0.10546235197632031,0.13627106528853647,0.033416557134364054,5
24,200,300,0.1,3,0.12064197301658283,0.18229156201962174,0.10649768872052805,0.13647707458557753,0.03290633818071174,6
25,all,100,0.03,1,0.3559961282022473,0.38767026279270905,0.33139448610684014,0.3583536257005988,0.02303488812273674,29
26,all,300,0.03,1,0.24520715187673306,0.2885362775153,0.2608006468470026,0.2648480254130119,0.01791906316548799,23
27,all,100,0.03,3,0.12090764168582807,0.21287199784255043,0.12205266314145212,0.15194410088994356,0.043085064998087,8
28,all,300,0.03,3,0.08568902474710687,0.17618624106774247,0.09149913578613553,0.11779146720032829,0.041359412945876375,1
29,all,100,0.1,1,0.23761775585721456,0.3002239229545946,0.25636832754880223,0.26473666878687047,0.02623489903371503,22
30,all,300,0.1,1,0.22656179824544612,0.2808948567449172,0.2401180734705411,0.24919157615363483,0.02309064240021368,18
31,all,100,0.1,3,0.0909877620759507,0.1779294439374287,0.09850770290421634,0.12247496963919859,0.03933222950952525,3
32,all,300,0.1,3,0.09101130360736005,0.17746960015695792,0.09764892386884502,0.12204327587772101,0.03928589711346185,2
