candidate_index,feature_selection__k,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,100,0.03,1,0.40860861942163396,0.4366977740166034,0.35479125014420243,0.40003254786081327,0.03398363739387223,32
2,50,300,0.03,1,0.31646041649683565,0.33275655823020384,0.25822029742501207,0.3024790907173505,0.03199501676427089,28
3,50,100,0.03,3,0.26914561516127805,0.33555858414432377,0.14288654264732087,0.24919691398430754,0.07991283544229821,19
4,50,300,0.03,3,0.2485020242353521,0.30013049137348985,0.10265295659066714,0.2170951573998364,0.08362271481399099,15
5,50,100,0.1,1,0.3102024030317934,0.32574895982084895,0.2526662137727925,0.29620585887514495,0.03143458158067252,27
6,50,300,0.1,1,0.29179378917307824,0.29092516567590604,0.22111192880397243,0.2679436278843189,0.03311691064254085,25
7,50,100,0.1,3,0.24557506607252244,0.29484326355735946,0.110150682536075,0.2168563373886523,0.07808717950252457,14
8,50,300,0.1,3,0.24456882136145028,0.2864716185308908,0.10873274641438106,0.21325772876890736,0.075864199087652,13
9,100,100,0.03,1,0.37361571272905647,0.3977887558244745,0.3533150947539059,0.37490652110247896,0.018179223891531152,29
10,100,300,0.03,1,0.2748228705361978,0.2739785853967129,0.24464163563432237,0.264481030522411,0.014032804340623374,23
11,100,100,0.03,3,0.21197614130302075,0.19513057043311924,0.1464467121698625,0.18451780796866749,0.02778488277192665,12
12,100,300,0.03,3,0.18932473544637435,0.16507546059821682,0.10424289354863843,0.15288102986440985,0.03578880701065669,9
13,100,100,0.1,1,0.27307445462192637,0.2730582010687186,0.23159967975024187,0.25924411181362894,0.019547566500290436,20
14,100,300,0.1,1,0.2671950150159164,0.25217412319618004,0.21265985062207926,0.24400966294472523,0.023000215176731138,18
15,100,100,0.1,3,0.1798027200218489,0.1654221230262919,0.10978956281649577,0.15167146862154554,0.03019128922812507,8
16,100,300,0.1,3,0.17952678746404763,0.1642281629647757,0.10856578830691772,0.15077357957858034,0.030491913801494002,7
17,200,100,0.03,1,0.37446363806250627,0.39464981646397623,0.3758474392922061,0.3816536312728962,0.009207038923253799,31
18,200,300,0.03,1,0.28232842249617207,0.25804580169277025,0.26297627610184326,0.26778350009692853,0.010479932257244267,24
19,200,100,0.03,3,0.18673713484876076,0.20078397257801384,0.14898931673249538,0.17883680805309,0.02187057332197337,11
20,200,300,0.03,3,0.15615811284783726,0.16865539361515303,0.10921180792892893,0.14467510479730641,0.025590096720219512,5
21,200,100,0.1,1,0.2788958504373745,0.25426793537421266,0.25567971351882096,0.26294783311013603,0.01129167014174084,21
22,200,300,0.1,1,0.26369298213391096,0.2324220564846198,0.23275074463820933,0.24295526108558005,0.014664397127836935,17
23,200,100,0.1,3,0.15810114423277527,0.16838059574359723,0.10760988176818467,0.14469720724818572,0.026558351659261365,6
24,200,300,0.1,3,0.15759094603905913,0.167225470852305,0.1061207026174965,0.14364570650295352,0.026824124149068217,4
25,all,100,0.03,1,0.3729951125699799,0.39660438422113514,0.3708727335757538,0.3801574101222896,0.011661999282708913,30
26,all,300,0.03,1,0.27576811693967107,0.2600295547149972,0.2810425035972713,0.27228005841731323,0.008926026341503097,26
27,all,100,0.03,3,0.15933009025959582,0.2094450587748273,0.11600334189897948,0.1615928303111342,0.038180960417308805,10
28,all,300,0.03,3,0.12177408829784099,0.1749426904884939,0.08659286166047254,0.1277698801489358,0.03631698595631168,3
29,all,100,0.1,1,0.26165486549217537,0.25414521223864567,0.2741181890733412,0.26330608893472074,0.008237105278463198,22
30,all,300,0.1,1,0.24528037999515492,0.22054718474610216,0.26159236255689,0.24247330909938236,0.016873774338505648,16
31,all,100,0.1,3,0.11703455449206612,0.17853531734161468,0.08771543764777308,0.1277617698271513,0.03784501286858398,2
32,all,300,0.1,3,0.11693806700341343,0.17817932919576052,0.0878854177084132,0.12766760463586238,0.037635000077727576,1
