candidate_index,feature_selection__k,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,100,0.03,1,0.3994052060727094,0.387217059613149,0.49570111002483974,0.4274411252368993,0.04852289405333878,32
2,50,300,0.03,1,0.29857590898537,0.28105524757021927,0.3924332401473233,0.3240214655676375,0.04890038561512845,28
3,50,100,0.03,3,0.19869542398271797,0.2626206020651274,0.27862476475439324,0.24664693026741288,0.03453060016926506,16
4,50,300,0.03,3,0.1639877357951648,0.23841005776598023,0.23168648005488712,0.21136142453867737,0.03361052824324233,12
5,50,100,0.1,1,0.2887212463586942,0.2730328961189421,0.37707388091215643,0.31294267446326424,0.04579766961869062,25
6,50,300,0.1,1,0.24859950639953948,0.25032493226820596,0.3196013314011735,0.27284192335630636,0.03307139704877776,19
7,50,100,0.1,3,0.17688795630336335,0.2435855478397737,0.23241336565628093,0.217628956599806,0.02916706181695765,14
8,50,300,0.1,3,0.17682735650423526,0.24360484420299036,0.228962284770155,0.2164648284924602,0.028658309160393226,13
9,100,100,0.03,1,0.4015530752345136,0.38370074654283215,0.4892516810915044,0.42483516762295004,0.04612874603044752,30
10,100,300,0.03,1,0.2897722838313494,0.26908832968088,0.3859594052225501,0.3149400062449265,0.05092329370849091,26
11,100,100,0.03,3,0.18898344163831376,0.2106959059235598,0.27456496778229916,0.22474810511472423,0.03632398317791829,15
12,100,300,0.03,3,0.1567930318803236,0.17121180180250317,0.24643602885734953,0.19148028751339208,0.03930288676009394,9
13,100,100,0.1,1,0.2820491116946572,0.25250758574419346,0.37003532221326646,0.30153067321737237,0.049918871778172696,21
14,100,300,0.1,1,0.2277152100030598,0.233243782176237,0.3216156897673797,0.26085822731555885,0.04302125994014915,17
15,100,100,0.1,3,0.1535754571720446,0.16626105866321303,0.2517681475927728,0.19053488780934347,0.043607072813760306,7
16,100,300,0.1,3,0.15392311646567863,0.1678093288218313,0.25147689613343355,0.19106978047364784,0.043088834130983314,8
17,200,100,0.03,1,0.40047193797932074,0.390633046680676,0.48925168109150446,0.4267855552505004,0.044352479101584644,31
18,200,300,0.03,1,0.28314168847511284,0.27640683767876967,0.39148266805499454,0.31701039806962567,0.05273157688641917,27
19,200,100,0.03,3,0.12711985102376516,0.20691671373062875,0.2918071755990169,0.20861458011780362,0.06724403706718836,11
20,200,300,0.03,3,0.09032648029872317,0.1739716489636079,0.26128987164788003,0.17519600030340374,0.0698008814297436,6
21,200,100,0.1,1,0.2744585476789099,0.26449347798399103,0.38516043523786797,0.30803748696692296,0.05468569292486101,23
22,200,300,0.1,1,0.22523910325139632,0.23272761905891923,0.3433489881774245,0.26710523682924664,0.0539990844489173,18
23,200,100,0.1,3,0.09651331266524502,0.17263173413165311,0.25378483580372674,0.17430996086687492,0.06421679599245879,5
24,200,300,0.1,3,0.09568405663422584,0.17218326460266684,0.25295539660023275,0.17360757261237514,0.06421365422637006,4
25,all,100,0.03,1,0.36366039472885114,0.378927297496476,0.48925168109150446,0.4106131244389439,0.055954067616974995,29
26,all,300,0.03,1,0.2578080195651856,0.2832761235909941,0.39049309713244584,0.3105257467628752,0.05749341367794289,24
27,all,100,0.03,3,0.11510730633401516,0.20835511773833187,0.2726920526597095,0.19871815891068553,0.06469359216191185,10
28,all,300,0.03,3,0.08734776614747022,0.16786877237753792,0.24154815475887778,0.16558823109462864,0.06297269574127382,1
29,all,100,0.1,1,0.25333029629244036,0.27778226491082353,0.3842637674449303,0.3051254428827314,0.05684265125890681,22
30,all,300,0.1,1,0.23436417460832681,0.2681096564132343,0.34910368066608605,0.28385917056254906,0.048147855331601506,20
31,all,100,0.1,3,0.09432220440522764,0.17444387383931126,0.23968428169654285,0.16948345331369394,0.05944738686409913,3
32,all,300,0.1,3,0.09401669747359528,0.17363000221968183,0.23962239791568468,0.16908969920298725,0.059529912726966776,2
