candidate_index,feature_selection__k,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,100,0.03,1,0.38712133492260464,0.44729639867462156,0.4052578936176872,0.4132252090716378,0.025204075874705863,32
2,50,300,0.03,1,0.2868623993475374,0.3328923374320921,0.30429945880021586,0.3080180651932818,0.018974716952599478,28
3,50,100,0.03,3,0.15768002755859273,0.315791612168509,0.1993187116777018,0.22426345046826782,0.06691536092687964,16
4,50,300,0.03,3,0.12667675332807038,0.3003982736648262,0.1614566472350601,0.19617722474265223,0.07505078517854427,14
5,50,100,0.1,1,0.2770671922294689,0.3284833982625923,0.292636345401331,0.29939564529779744,0.021527852687900657,27
6,50,300,0.1,1,0.24196977351073207,0.31811853364172255,0.2628404579746238,0.2743095883756928,0.032128016138455916,23
7,50,100,0.1,3,0.1354623530612768,0.2912669759012468,0.1616784107893636,0.19613591325062907,0.06811392286200824,13
8,50,300,0.1,3,0.13723829365988735,0.29074293876877555,0.16150017471981556,0.19649380238282618,0.06737622973652994,15
9,100,100,0.03,1,0.37837607161763764,0.40784402631400324,0.4024206127965772,0.3962135702427394,0.012805874210575632,31
10,100,300,0.03,1,0.27265390148382856,0.28103744616492665,0.29162283764458324,0.28177139509777954,0.007761406468105441,26
11,100,100,0.03,3,0.14041153617312854,0.18063533998027487,0.15875079001134598,0.1599325553882498,0.016442546948561756,12
12,100,300,0.03,3,0.10683825647877601,0.14232092881554345,0.11977852183207251,0.12297923570879732,0.014661478689183988,7
13,100,100,0.1,1,0.26603045493728283,0.2746271873045928,0.2858188833613428,0.27549217520107283,0.008101712901986793,24
14,100,300,0.1,1,0.23031994360185068,0.24650422300437158,0.27050215080485135,0.24910877247035787,0.016507376176865034,19
15,100,100,0.1,3,0.11230109232061208,0.15257587144084803,0.12435392261858313,0.12974362879334775,0.0168780164273663,9
16,100,300,0.1,3,0.11080192241004815,0.15444472432075404,0.12370516434324486,0.129650603691349,0.018306369136373773,8
17,200,100,0.03,1,0.3785570226679558,0.39181863845018533,0.4022374895030818,0.3908710502070743,0.009690702416620343,30
18,200,300,0.03,1,0.27666220736670016,0.2675978649597124,0.28938546756295785,0.27788184662979015,0.008936462639034538,25
19,200,100,0.03,3,0.13915581507352803,0.14259772494012576,0.15571588891234228,0.14582314297533203,0.007134960990929121,11
20,200,300,0.03,3,0.10272688327561326,0.10928840298496958,0.10763818112890826,0.10655115579649704,0.002786826543943927,2
21,200,100,0.1,1,0.27373281167724267,0.26364593182632706,0.28205110072406164,0.27314328140921046,0.0075254333204686046,22
22,200,300,0.1,1,0.2635480503935743,0.23856210060748964,0.2486742208635707,0.25026145728821153,0.010262030704786335,20
23,200,100,0.1,3,0.10363613543282127,0.10460654106590628,0.11398992790881726,0.10741086813584827,0.00466893580989679,3
24,200,300,0.1,3,0.1033294515617818,0.10258021186765066,0.112913986920757,0.10627455011672982,0.004704744473105026,1
25,all,100,0.03,1,0.351696514196645,0.3838361306325088,0.36856431241988485,0.36803231908301287,0.013126334823399083,29
26,all,300,0.03,1,0.24821072309743908,0.25243503109051013,0.2572317091257911,0.2526258211045801,0.00368527229686239,21
27,all,100,0.03,3,0.1345552816303926,0.15879469888536024,0.1368894368013848,0.14341313910571254,0.010918069305261017,10
28,all,300,0.03,3,0.10247023562953092,0.1288132518816968,0.09756555200227214,0.10961634650449996,0.013721148212805461,4
29,all,100,0.1,1,0.24612152662568781,0.2476406610300133,0.2527011937887015,0.2488211271481342,0.0028128431862955135,18
30,all,300,0.1,1,0.23707612352851243,0.2505547406357957,0.2301706979334377,0.23926718736591526,0.008464745311292377,17
31,all,100,0.1,3,0.10198570049801473,0.12657857475952494,0.10076822759216307,0.10977750094990091,0.011890545850561181,6
32,all,300,0.1,3,0.10163950308261327,0.12626514256951848,0.10117733717788653,0.10969399427667276,0.011719090298553773,5
