source_phase,source_path,source_sha256,source_row_number,frozen_row_json
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,4,"{""variant"":""hybrid"",""dimension"":""5000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.8223087334681487"",""macro_f1_sd_sample"":""0.0323253208135219"",""total_runtime_seconds_mean"":""5.428569580044131"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""2"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.5730720941321645"",""mae_bounded_sd_sample"":""0.011365134210775901"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,5,"{""variant"":""hybrid"",""dimension"":""10000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.8284327102002415"",""macro_f1_sd_sample"":""0.019115923901241467"",""total_runtime_seconds_mean"":""6.812270360044204"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""1"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.5661711725928555"",""mae_bounded_sd_sample"":""0.015503758479258159"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,6,"{""variant"":""multicentroid"",""dimension"":""1000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7843931068865702"",""macro_f1_sd_sample"":""0.022980058446550624"",""total_runtime_seconds_mean"":""4.048979879968101"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""1"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7191225466619521"",""mae_bounded_sd_sample"":""0.011304393155024002"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,7,"{""variant"":""multicentroid"",""dimension"":""2000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7916792674526292"",""macro_f1_sd_sample"":""0.00393851340068606"",""total_runtime_seconds_mean"":""4.394966639962513"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7197886064900162"",""mae_bounded_sd_sample"":""0.011461743773097837"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,8,"{""variant"":""multicentroid"",""dimension"":""5000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7962769383177346"",""macro_f1_sd_sample"":""0.009436303158162788"",""total_runtime_seconds_mean"":""5.227587999968091"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7219739620413698"",""mae_bounded_sd_sample"":""0.009727616999907122"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,9,"{""variant"":""multicentroid"",""dimension"":""10000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7982567548013476"",""macro_f1_sd_sample"":""0.014684562567273815"",""total_runtime_seconds_mean"":""6.623248539987253"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7217357788867146"",""mae_bounded_sd_sample"":""0.004571486504753312"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,10,"{""variant"":""onlinehd"",""dimension"":""1000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.639764510756671"",""macro_f1_sd_sample"":""0.06124245577177715"",""total_runtime_seconds_mean"":""3.813642659998731"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.43536322603309185"",""mae_bounded_sd_sample"":""0.02847818449787512"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,11,"{""variant"":""onlinehd"",""dimension"":""2000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.6555889070219212"",""macro_f1_sd_sample"":""0.03102268506432361"",""total_runtime_seconds_mean"":""3.8395531799935263"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.4496304633584445"",""mae_bounded_sd_sample"":""0.044607484453399945"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,12,"{""variant"":""onlinehd"",""dimension"":""5000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.6963124890346866"",""macro_f1_sd_sample"":""0.06166312879495085"",""total_runtime_seconds_mean"":""3.9044511999993112"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.38974220886988553"",""mae_bounded_sd_sample"":""0.024898511232734358"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,13,"{""variant"":""onlinehd"",""dimension"":""10000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.6719716188387206"",""macro_f1_sd_sample"":""0.046381116233110496"",""total_runtime_seconds_mean"":""3.9948583000164946"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.4578339566785954"",""mae_bounded_sd_sample"":""0.027620289752371324"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,14,"{""variant"":""vanilla"",""dimension"":""1000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7568852136748837"",""macro_f1_sd_sample"":""0.023091755688514532"",""total_runtime_seconds_mean"":""3.640072105002036"",""peak_memory_complete"":""True"",""pareto_seed_config_count"":""3"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7022786559766689"",""mae_bounded_sd_sample"":""0.010967548590613148"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,15,"{""variant"":""vanilla"",""dimension"":""2000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7742097349496994"",""macro_f1_sd_sample"":""0.01674704816570431"",""total_runtime_seconds_mean"":""3.6719662250259715"",""peak_memory_complete"":""True"",""pareto_seed_config_count"":""1"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.6999296967604152"",""mae_bounded_sd_sample"":""0.008130606213569822"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,16,"{""variant"":""vanilla"",""dimension"":""5000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7797642795463223"",""macro_f1_sd_sample"":""0.011621972585294089"",""total_runtime_seconds_mean"":""3.8089574450023056"",""peak_memory_complete"":""True"",""pareto_seed_config_count"":""2"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7007127292774827"",""mae_bounded_sd_sample"":""0.009599808033267042"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,17,"{""variant"":""vanilla"",""dimension"":""10000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.7710611339013778"",""macro_f1_sd_sample"":""0.005569866250664318"",""total_runtime_seconds_mean"":""3.964492924995284"",""peak_memory_complete"":""True"",""pareto_seed_config_count"":""0"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.7014883381484773"",""mae_bounded_sd_sample"":""0.0037524530660137073"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,2,"{""task"":""classification"",""modality"":""physiological_features"",""unimodal_metric"":""0.33219003734443714"",""multimodal_metric"":""0.8710573880254382"",""metric"":""macro_f1"",""delta"":""-0.5388673506810011""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,3,"{""task"":""classification"",""modality"":""eye_tracking_features"",""unimodal_metric"":""0.34683349117311385"",""multimodal_metric"":""0.8710573880254382"",""metric"":""macro_f1"",""delta"":""-0.5242238968523243""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,4,"{""task"":""classification"",""modality"":""head_movement_features"",""unimodal_metric"":""0.37329579641748495"",""multimodal_metric"":""0.8710573880254382"",""metric"":""macro_f1"",""delta"":""-0.49776159160795325""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,5,"{""task"":""classification"",""modality"":""flight_parameter_features"",""unimodal_metric"":""0.8634578130317547"",""multimodal_metric"":""0.8710573880254382"",""metric"":""macro_f1"",""delta"":""-0.007599574993683467""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,6,"{""task"":""classification"",""modality"":""body_movement"",""unimodal_metric"":""0.22837948725603024"",""multimodal_metric"":""0.8710573880254382"",""metric"":""macro_f1"",""delta"":""-0.6426779007694079""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,7,"{""task"":""regression"",""modality"":""physiological_features"",""unimodal_metric"":""1.0107883840918663"",""multimodal_metric"":""0.2657274084669525"",""metric"":""bounded_mae"",""delta"":""0.7450609756249138""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,8,"{""task"":""regression"",""modality"":""eye_tracking_features"",""unimodal_metric"":""0.8473534994558473"",""multimodal_metric"":""0.2657274084669525"",""metric"":""bounded_mae"",""delta"":""0.5816260909888948""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,9,"{""task"":""regression"",""modality"":""head_movement_features"",""unimodal_metric"":""0.8907766639761335"",""multimodal_metric"":""0.2657274084669525"",""metric"":""bounded_mae"",""delta"":""0.6250492555091811""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,10,"{""task"":""regression"",""modality"":""flight_parameter_features"",""unimodal_metric"":""0.261109975823389"",""multimodal_metric"":""0.2657274084669525"",""metric"":""bounded_mae"",""delta"":""-0.004617432643563457""}"
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_vs_multimodal_comparison.csv,49e8e69fbcffcc99f714cc3be27341f22bc10b1e0b04d95445b814d9f6a05cab,11,"{""task"":""regression"",""modality"":""body_movement"",""unimodal_metric"":""1.026069500105012"",""multimodal_metric"":""0.2657274084669525"",""metric"":""bounded_mae"",""delta"":""0.7603420916380594""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,2,"{""condition"":""BEST_SINGLE_FLIGHT_REFERENCE"",""model_family"":""HDC"",""source_status"":""REUSED_FROZEN_REFERENCE"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.8634578130317547"",""balanced_accuracy"":""0.8640926290690443"",""accuracy"":""0.863961813842482"",""severe_error_rate"":""0.011933174224343675"",""recall_class_0"":""0.8365384615384616"",""recall_class_1"":""0.7830188679245284"",""recall_class_2"":""0.8653846153846154"",""recall_class_3"":""0.9714285714285714"",""confusion_matrix"":""[[87,15,2,0],[11,83,11,1],[2,6,90,6],[0,0,3,102]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.8634578130317547"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,3,"{""condition"":""FLIGHT_BEHAVIORAL_ONLY"",""model_family"":""HDC"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.8543509417188794"",""balanced_accuracy"":""0.8543865332780427"",""accuracy"":""0.8544152744630071"",""severe_error_rate"":""0.014319809069212411"",""recall_class_0"":""0.8173076923076923"",""recall_class_1"":""0.8018867924528302"",""recall_class_2"":""0.8269230769230769"",""recall_class_3"":""0.9714285714285714"",""confusion_matrix"":""[[85,16,3,0],[10,85,10,1],[2,10,86,6],[0,0,3,102]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.8543509417188794"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,4,"{""condition"":""FLIGHT_BEHAVIORAL_ONLY"",""model_family"":""TRADITIONAL"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.9450797501684948"",""balanced_accuracy"":""0.9453020250190062"",""accuracy"":""0.9451073985680191"",""severe_error_rate"":""0.00477326968973747"",""recall_class_0"":""0.9807692307692307"",""recall_class_1"":""0.8962264150943396"",""recall_class_2"":""0.9423076923076923"",""recall_class_3"":""0.9619047619047619"",""confusion_matrix"":""[[102,0,1,1],[5,95,6,0],[0,2,98,4],[0,0,4,101]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.9450797501684948"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,5,"{""condition"":""FLIGHT_FULL"",""model_family"":""HDC"",""source_status"":""REUSED_FROZEN_REFERENCE"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.8634578130317547"",""balanced_accuracy"":""0.8640926290690443"",""accuracy"":""0.863961813842482"",""severe_error_rate"":""0.011933174224343675"",""recall_class_0"":""0.8365384615384616"",""recall_class_1"":""0.7830188679245284"",""recall_class_2"":""0.8653846153846154"",""recall_class_3"":""0.9714285714285714"",""confusion_matrix"":""[[87,15,2,0],[11,83,11,1],[2,6,90,6],[0,0,3,102]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.8634578130317547"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,6,"{""condition"":""FLIGHT_FULL"",""model_family"":""TRADITIONAL"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.952313065384175"",""balanced_accuracy"":""0.9524228523049278"",""accuracy"":""0.9522673031026253"",""severe_error_rate"":""0.00477326968973747"",""recall_class_0"":""0.9807692307692307"",""recall_class_1"":""0.9150943396226415"",""recall_class_2"":""0.9519230769230769"",""recall_class_3"":""0.9619047619047619"",""confusion_matrix"":""[[102,0,1,1],[4,97,5,0],[0,2,99,3],[0,0,4,101]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.952313065384175"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,7,"{""condition"":""FULL_PRIMARY_REFERENCE"",""model_family"":""HDC"",""source_status"":""REUSED_FROZEN_REFERENCE"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.8710573880254382"",""balanced_accuracy"":""0.8712363501278596"",""accuracy"":""0.8711217183770883"",""severe_error_rate"":""0.01909307875894988"",""recall_class_0"":""0.8173076923076923"",""recall_class_1"":""0.8018867924528302"",""recall_class_2"":""0.9038461538461539"",""recall_class_3"":""0.9619047619047619"",""confusion_matrix"":""[[85,16,3,0],[13,85,7,1],[4,4,94,2],[0,0,4,101]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.8710573880254382"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,8,"{""condition"":""FULL_PRIMARY_REFERENCE"",""model_family"":""TRADITIONAL"",""source_status"":""REUSED_FROZEN_REFERENCE"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.9356075023489925"",""balanced_accuracy"":""0.9356862084456424"",""accuracy"":""0.9355608591885441"",""severe_error_rate"":""0.014319809069212411"",""recall_class_0"":""0.9423076923076923"",""recall_class_1"":""0.8867924528301887"",""recall_class_2"":""0.9326923076923077"",""recall_class_3"":""0.9809523809523809"",""confusion_matrix"":""[[98,1,4,1],[4,94,8,0],[1,2,97,4],[0,0,2,103]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.9356075023489925"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,9,"{""condition"":""FUSION_PE"",""model_family"":""HDC"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.35556387135208467"",""balanced_accuracy"":""0.3587324625060474"",""accuracy"":""0.35799522673031026"",""severe_error_rate"":""0.25059665871121717"",""recall_class_0"":""0.46153846153846156"",""recall_class_1"":""0.2169811320754717"",""recall_class_2"":""0.4230769230769231"",""recall_class_3"":""0.3333333333333333"",""confusion_matrix"":""[[48,27,21,8],[32,23,39,12],[25,19,44,16],[20,19,31,35]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.35556387135208467"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,10,"{""condition"":""FUSION_PE"",""model_family"":""TRADITIONAL"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.4300855892665406"",""balanced_accuracy"":""0.4351095445435068"",""accuracy"":""0.4343675417661098"",""severe_error_rate"":""0.21479713603818615"",""recall_class_0"":""0.6057692307692307"",""recall_class_1"":""0.29245283018867924"",""recall_class_2"":""0.4326923076923077"",""recall_class_3"":""0.4095238095238095"",""confusion_matrix"":""[[63,17,18,6],[30,31,30,15],[17,21,45,21],[18,16,28,43]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.4300855892665406"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_final_comparison.csv,f20471356be9e3dc7d87bf0e8c08640449ee9fb545a7d3b6aabb89c4a03d9653,11,"{""condition"":""FUSION_PEH"",""model_family"":""HDC"",""source_status"":""NEW_PHASE08_RUN"",""n_rows"":""419"",""n_subjects"":""35"",""macro_f1"":""0.41833008763388513"",""balanced_accuracy"":""0.42311493537908634"",""accuracy"":""0.4224343675417661"",""severe_error_rate"":""0.22195704057279236"",""recall_class_0"":""0.5480769230769231"",""recall_class_1"":""0.330188679245283"",""recall_class_2"":""0.49038461538461536"",""recall_class_3"":""0.3238095238095238"",""confusion_matrix"":""[[57,23,17,7],[30,35,30,11],[23,19,51,11],[23,12,36,34]]"",""task"":""classification"",""primary_metric_name"":""macro_f1"",""primary_metric_value"":""0.41833008763388513"",""raw_mae"":"""",""bounded_mae"":"""",""bounded_rmse"":"""",""bounded_r2"":"""",""bounded_spearman"":"""",""bounded_spearman_status"":"""",""clipping_count"":"""",""clipping_rate"":"""",""task_wording"":""""}"
