source_phase,source_path,source_sha256,source_row_number,frozen_row_json
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,6,"{""model"":""Linear SVR"",""model_slug"":""linear_svr"",""model_family"":""Support vector"",""canonical_seed"":""42"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.4922880337739191"",""mae_bounded"":""0.31759267122550844"",""rmse_bounded"":""0.4981974544527872"",""r2_bounded"":""0.8010593715584978"",""rank_by_mae_bounded"":""5"",""difference_from_best_mae"":""0.21010644775625664"",""spearman_bounded"":""0.8840047199364387"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,7,"{""model"":""Ridge"",""model_slug"":""ridge"",""model_family"":""Linear regularized"",""canonical_seed"":""NOT_APPLICABLE"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.5464312533171488"",""mae_bounded"":""0.3194087375117215"",""rmse_bounded"":""0.5179330179580228"",""r2_bounded"":""0.7849855373746046"",""rank_by_mae_bounded"":""6"",""difference_from_best_mae"":""0.2119225140424697"",""spearman_bounded"":""0.8772756373953986"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,8,"{""model"":""Dummy Regressor Median"",""model_slug"":""dummy_median"",""model_family"":""Dummy"",""canonical_seed"":""NOT_APPLICABLE"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.9988066825775657"",""mae_bounded"":""0.9988066825775657"",""rmse_bounded"":""1.2043576408064898"",""r2_bounded"":""-0.16260295299317007"",""rank_by_mae_bounded"":""7"",""difference_from_best_mae"":""0.8913204591083138"",""spearman_bounded"":""-0.0032212583039886496"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
04B,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,9,"{""model"":""Dummy Regressor Mean"",""model_slug"":""dummy_mean"",""model_family"":""Dummy"",""canonical_seed"":""NOT_APPLICABLE"",""oof_rows"":""419"",""oof_unique_run_keys"":""419"",""mae_raw"":""0.9988137856574609"",""mae_bounded"":""0.9988137856574609"",""rmse_bounded"":""1.116974097074507"",""r2_bounded"":""-1.5383298377136256e-05"",""rank_by_mae_bounded"":""8"",""difference_from_best_mae"":""0.8913275621882091"",""spearman_bounded"":""-0.005085561464023763"",""status"":""COMPLETE"",""leakage_audit"":""PASS"",""coverage_audit"":""PASS"",""artifact_audit"":""PASS"",""notebook_persistence"":""PASS""}"
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_dual_output_final_comparison.csv,08c21f705d0ec1491d1e1d795489e0f4f5f8dc47c34e507f5e7d5e716cb5bf64,2,"{""dimension"":""1000"",""seed_count"":""5"",""macro_f1_mean"":""0.7568852136748837"",""macro_f1_sample_sd"":""0.023091755688514532"",""macro_f1_min"":""0.7181925176407058"",""macro_f1_max"":""0.7761139146474305"",""balanced_accuracy_mean"":""0.7611304340313774"",""balanced_accuracy_sample_sd"":""0.022878210166053275"",""balanced_accuracy_min"":""0.722809541087843"",""balanced_accuracy_max"":""0.7802750708411086"",""accuracy_mean"":""0.7613365155131265"",""accuracy_sample_sd"":""0.02282950652709902"",""accuracy_min"":""0.7231503579952268"",""accuracy_max"":""0.7804295942720764"",""severe_error_rate_mean"":""0.045346062052505964"",""severe_error_rate_sample_sd"":""0.0029230187861374454"",""severe_error_rate_min"":""0.04295942720763723"",""severe_error_rate_max"":""0.050119331742243436"",""mae_bounded_mean"":""0.7022786559766689"",""mae_bounded_sample_sd"":""0.010967548590613148"",""mae_bounded_min"":""0.6917396683192365"",""mae_bounded_max"":""0.7179528933582237"",""rmse_bounded_mean"":""0.8151481202511277"",""rmse_bounded_sample_sd"":""0.011947152137438872"",""rmse_bounded_min"":""0.8014510648847916"",""rmse_bounded_max"":""0.8326910859676149"",""r2_bounded_mean"":""0.46731782248538584"",""r2_bounded_sample_sd"":""0.015652198050800627"",""r2_bounded_min"":""0.44423869171086594"",""r2_bounded_max"":""0.4851573728818378"",""spearman_bounded_mean"":""0.7970208607568767"",""spearman_bounded_sample_sd"":""0.01970431240975934"",""spearman_bounded_min"":""0.7740197394554404"",""spearman_bounded_max"":""0.8156679459589392"",""mae_bounded_mean_ridge"":""0.3503554137608016"",""mae_bounded_sample_sd_ridge"":""0.009881599518902872"",""mae_bounded_min_ridge"":""0.3395560663875353"",""mae_bounded_max_ridge"":""0.36641395277427585"",""rmse_bounded_mean_ridge"":""0.48628272121722577"",""rmse_bounded_sample_sd_ridge"":""0.011093332338835802"",""rmse_bounded_min_ridge"":""0.4775567013222697"",""rmse_bounded_max_ridge"":""0.5046730960159355"",""r2_bounded_mean_ridge"":""0.8103822777180799"",""r2_bounded_sample_sd_ridge"":""0.008737363798318205"",""r2_bounded_min_ridge"":""0.7958540428782565"",""r2_bounded_max_ridge"":""0.8172024525768524"",""spearman_bounded_mean_ridge"":""0.8961586914475846"",""spearman_bounded_sample_sd_ridge"":""0.003937291247652574"",""spearman_bounded_min_ridge"":""0.8899215529500653"",""spearman_bounded_max_ridge"":""0.899722194145941"",""best_phase04a_classifier"":""Gradient Boosting"",""best_phase04a_macro_f1"":""0.9356075023489924"",""best_phase04b_regressor"":""Gradient Boosting Regressor"",""best_phase04b_mae_bounded"":""0.1074862234692518"",""canonical_configuration_selection"":""NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED""}"
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_dual_output_final_comparison.csv,08c21f705d0ec1491d1e1d795489e0f4f5f8dc47c34e507f5e7d5e716cb5bf64,3,"{""dimension"":""2000"",""seed_count"":""5"",""macro_f1_mean"":""0.7742097349496994"",""macro_f1_sample_sd"":""0.01674704816570431"",""macro_f1_min"":""0.7468325721443744"",""macro_f1_max"":""0.7888302037446727"",""balanced_accuracy_mean"":""0.7778937728937729"",""balanced_accuracy_sample_sd"":""0.01620531860329858"",""balanced_accuracy_min"":""0.7515874455732946"",""balanced_accuracy_max"":""0.7922260522496372"",""accuracy_mean"":""0.7780429594272077"",""accuracy_sample_sd"":""0.016186945067124762"",""accuracy_min"":""0.7517899761336515"",""accuracy_max"":""0.7923627684964201"",""severe_error_rate_mean"":""0.044868735083532216"",""severe_error_rate_sample_sd"":""0.004269342200476925"",""severe_error_rate_min"":""0.03818615751789976"",""severe_error_rate_max"":""0.0477326968973747"",""mae_bounded_mean"":""0.699929696760415"",""mae_bounded_sample_sd"":""0.00813060621356981"",""mae_bounded_min"":""0.6905147726398422"",""mae_bounded_max"":""0.710568818787447"",""rmse_bounded_mean"":""0.8116353037492011"",""rmse_bounded_sample_sd"":""0.008542787690860549"",""rmse_bounded_min"":""0.8036005887075349"",""rmse_bounded_max"":""0.8237602303467657"",""r2_bounded_mean"":""0.4719429752630253"",""r2_bounded_sample_sd"":""0.011134504553160616"",""r2_bounded_min"":""0.4560961668287691"",""r2_bounded_max"":""0.4823920123940614"",""spearman_bounded_mean"":""0.7963426976262358"",""spearman_bounded_sample_sd"":""0.0126409800372551"",""spearman_bounded_min"":""0.7819750271599635"",""spearman_bounded_max"":""0.810040932409674"",""mae_bounded_mean_ridge"":""0.3280556340397559"",""mae_bounded_sample_sd_ridge"":""0.006622125521187154"",""mae_bounded_min_ridge"":""0.3198551734694731"",""mae_bounded_max_ridge"":""0.3357205621822572"",""rmse_bounded_mean_ridge"":""0.46751125978031016"",""rmse_bounded_sample_sd_ridge"":""0.009503440496420565"",""rmse_bounded_min_ridge"":""0.4542520605260402"",""rmse_bounded_max_ridge"":""0.47550201573593576"",""r2_bounded_mean_ridge"":""0.8247539774867099"",""r2_bounded_sample_sd_ridge"":""0.007088682874078809"",""r2_bounded_min_ridge"":""0.8187720399976545"",""r2_bounded_max_ridge"":""0.8346080798952804"",""spearman_bounded_mean_ridge"":""0.9035052136830135"",""spearman_bounded_sample_sd_ridge"":""0.003612051686403776"",""spearman_bounded_min_ridge"":""0.8991065127455584"",""spearman_bounded_max_ridge"":""0.9082366702305278"",""best_phase04a_classifier"":""Gradient Boosting"",""best_phase04a_macro_f1"":""0.9356075023489924"",""best_phase04b_regressor"":""Gradient Boosting Regressor"",""best_phase04b_mae_bounded"":""0.1074862234692518"",""canonical_configuration_selection"":""NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED""}"
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_dual_output_final_comparison.csv,08c21f705d0ec1491d1e1d795489e0f4f5f8dc47c34e507f5e7d5e716cb5bf64,4,"{""dimension"":""5000"",""seed_count"":""5"",""macro_f1_mean"":""0.7797642795463223"",""macro_f1_sample_sd"":""0.011621972585294089"",""macro_f1_min"":""0.767216495456205"",""macro_f1_max"":""0.7916847002455213"",""balanced_accuracy_mean"":""0.7831913055497962"",""balanced_accuracy_sample_sd"":""0.01138729238314311"",""balanced_accuracy_min"":""0.7706821480406386"",""balanced_accuracy_max"":""0.7946752539912917"",""accuracy_mean"":""0.7832935560859189"",""accuracy_sample_sd"":""0.011371006443505086"",""accuracy_min"":""0.7708830548926014"",""accuracy_max"":""0.7947494033412887"",""severe_error_rate_mean"":""0.04295942720763723"",""severe_error_rate_sample_sd"":""0.0016876056830227846"",""severe_error_rate_min"":""0.0405727923627685"",""severe_error_rate_max"":""0.045346062052505964"",""mae_bounded_mean"":""0.7007127292774827"",""mae_bounded_sample_sd"":""0.009599808033267042"",""mae_bounded_min"":""0.6898499187361173"",""mae_bounded_max"":""0.7098372227205263"",""rmse_bounded_mean"":""0.8121840447253511"",""rmse_bounded_sample_sd"":""0.010051833547344072"",""rmse_bounded_min"":""0.8011439529796618"",""rmse_bounded_max"":""0.8218540039125597"",""r2_bounded_mean"":""0.4712107729706701"",""r2_bounded_sample_sd"":""0.013069707159541576"",""r2_bounded_min"":""0.45861050101425527"",""r2_bounded_max"":""0.48555186734991296"",""spearman_bounded_mean"":""0.7995044430470442"",""spearman_bounded_sample_sd"":""0.009181806560659419"",""spearman_bounded_min"":""0.7892904143476855"",""spearman_bounded_max"":""0.8124237952346114"",""mae_bounded_mean_ridge"":""0.29365448930518456"",""mae_bounded_sample_sd_ridge"":""0.007810092602930573"",""mae_bounded_min_ridge"":""0.2843820847423422"",""mae_bounded_max_ridge"":""0.3000789332052196"",""rmse_bounded_mean_ridge"":""0.4286820726958441"",""rmse_bounded_sample_sd_ridge"":""0.0116744523171056"",""rmse_bounded_min_ridge"":""0.4138424624442926"",""rmse_bounded_max_ridge"":""0.4444839763431252"",""r2_bounded_mean_ridge"":""0.8526165487394783"",""r2_bounded_sample_sd_ridge"":""0.00802989051437182"",""r2_bounded_min_ridge"":""0.8416446663343897"",""r2_bounded_max_ridge"":""0.8627252769284384"",""spearman_bounded_mean_ridge"":""0.9174095229554226"",""spearman_bounded_sample_sd_ridge"":""0.004865726818092391"",""spearman_bounded_min_ridge"":""0.9119145720868594"",""spearman_bounded_max_ridge"":""0.9234009604321136"",""best_phase04a_classifier"":""Gradient Boosting"",""best_phase04a_macro_f1"":""0.9356075023489924"",""best_phase04b_regressor"":""Gradient Boosting Regressor"",""best_phase04b_mae_bounded"":""0.1074862234692518"",""canonical_configuration_selection"":""NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED""}"
05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_dual_output_final_comparison.csv,08c21f705d0ec1491d1e1d795489e0f4f5f8dc47c34e507f5e7d5e716cb5bf64,5,"{""dimension"":""10000"",""seed_count"":""5"",""macro_f1_mean"":""0.7710611339013778"",""macro_f1_sample_sd"":""0.005569866250664318"",""macro_f1_min"":""0.7645791275111784"",""macro_f1_max"":""0.7797247085370791"",""balanced_accuracy_mean"":""0.774505753680282"",""balanced_accuracy_sample_sd"":""0.00522593445412572"",""balanced_accuracy_min"":""0.7682329462989841"",""balanced_accuracy_max"":""0.7825882058193379"",""accuracy_mean"":""0.7747016706443914"",""accuracy_sample_sd"":""0.005228854964249828"",""accuracy_min"":""0.7684964200477327"",""accuracy_max"":""0.7828162291169452"",""severe_error_rate_mean"":""0.04295942720763723"",""severe_error_rate_sample_sd"":""0.00446498494841759"",""severe_error_rate_min"":""0.03579952267303103"",""severe_error_rate_max"":""0.0477326968973747"",""mae_bounded_mean"":""0.7014883381484773"",""mae_bounded_sample_sd"":""0.0037524530660137403"",""mae_bounded_min"":""0.6979682905609311"",""mae_bounded_max"":""0.7072418659747979"",""rmse_bounded_mean"":""0.8127151920637157"",""rmse_bounded_sample_sd"":""0.0038200740325219596"",""rmse_bounded_min"":""0.8090762385233381"",""rmse_bounded_max"":""0.8182682909413223"",""r2_bounded_mean"":""0.4705744342463384"",""r2_bounded_sample_sd"":""0.0049821521004374935"",""r2_bounded_min"":""0.46332431273175034"",""r2_bounded_max"":""0.4753141276121584"",""spearman_bounded_mean"":""0.7987245663982377"",""spearman_bounded_sample_sd"":""0.0025682131889794074"",""spearman_bounded_min"":""0.7959489684219938"",""spearman_bounded_max"":""0.8018026765856232"",""mae_bounded_mean_ridge"":""0.2763899537759564"",""mae_bounded_sample_sd_ridge"":""0.006418910750530134"",""mae_bounded_min_ridge"":""0.2680685764716566"",""mae_bounded_max_ridge"":""0.2820949113243607"",""rmse_bounded_mean_ridge"":""0.4075166878371063"",""rmse_bounded_sample_sd_ridge"":""0.007000733305015733"",""rmse_bounded_min_ridge"":""0.39904585904437956"",""rmse_bounded_max_ridge"":""0.41558343519256874"",""r2_bounded_mean_ridge"":""0.8668583927417067"",""r2_bounded_sample_sd_ridge"":""0.004568755870266339"",""r2_bounded_min_ridge"":""0.8615678594359681"",""r2_bounded_max_ridge"":""0.872366084061476"",""spearman_bounded_mean_ridge"":""0.9247515333883938"",""spearman_bounded_sample_sd_ridge"":""0.0025702997228385883"",""spearman_bounded_min_ridge"":""0.9224778000292783"",""spearman_bounded_max_ridge"":""0.9283320834281278"",""best_phase04a_classifier"":""Gradient Boosting"",""best_phase04a_macro_f1"":""0.9356075023489924"",""best_phase04b_regressor"":""Gradient Boosting Regressor"",""best_phase04b_mae_bounded"":""0.1074862234692518"",""canonical_configuration_selection"":""NOT_PERFORMED_OUTER_TEST_SELECTION_PROHIBITED""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,2,"{""variant"":""hybrid"",""dimension"":""1000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.8064586019534176"",""macro_f1_sd_sample"":""0.012880127451261679"",""total_runtime_seconds_mean"":""4.336060780019034"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""1"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.5770832172348334"",""mae_bounded_sd_sample"":""0.017783891304365255"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98,3,"{""variant"":""hybrid"",""dimension"":""2000"",""seeds"":""42,43,44,45,46"",""macro_f1_mean"":""0.8124869108643556"",""macro_f1_sd_sample"":""0.011279264096438963"",""total_runtime_seconds_mean"":""4.659171500027878"",""peak_memory_complete"":""False"",""pareto_seed_config_count"":""1"",""final_selection_status"":""MODEL_SELECTION_BLOCKED"",""mae_bounded_mean"":""0.5680221755208297"",""mae_bounded_sd_sample"":""0.004034450637541417"",""common_ridge_reference"":""See phase06_hdc_regression_head_comparison.csv; not duplicated per variant"",""regression_estimand"":""bounded difficulty-induced workload proxy regression""}"
