outer_fold,dimension,seed,preprocessing_seconds,preprocessing_reused,inner_selection_seconds,outer_training_encoding_seconds,outer_training_fit_seconds,checkpoint_reused,outer_test_inference_seconds,fold_elapsed_seconds
3,1000,42,0.08555360000173096,False,0.5824851500001387,0.13179365000178223,0.005876400013221428,False,0.002078399993479252,17.900886600007652
3,2000,42,0.08555360000173096,False,0.5824851500001387,0.13179365000178223,0.014494999995804392,False,0.0034555000020191073,17.900886600007652
3,5000,42,0.08555360000173096,False,0.5824851500001387,0.13179365000178223,0.03405950000160374,False,0.005444700000225566,17.900886600007652
3,10000,42,0.08555360000173096,False,0.5824851500001387,0.13179365000178223,0.062126399992848746,False,0.00990750000346452,17.900886600007652
3,1000,43,0.08555360000173096,False,0.5720967999986897,0.130388599998696,0.006669599999440834,False,0.0021235999884083867,17.900886600007652
3,2000,43,0.08555360000173096,False,0.5720967999986897,0.130388599998696,0.015216300002066419,False,0.0021235000021988526,17.900886600007652
3,5000,43,0.08555360000173096,False,0.5720967999986897,0.130388599998696,0.03876260000106413,False,0.0060720000037690625,17.900886600007652
3,10000,43,0.08555360000173096,False,0.5720967999986897,0.130388599998696,0.06385199999203905,False,0.00979179999558255,17.900886600007652
3,1000,44,0.08555360000173096,False,0.5856460999966657,0.13042249999853084,0.006178399999043904,False,0.002155299996957183,17.900886600007652
3,2000,44,0.08555360000173096,False,0.5856460999966657,0.13042249999853084,0.014039500005310401,False,0.0029171999922255054,17.900886600007652
3,5000,44,0.08555360000173096,False,0.5856460999966657,0.13042249999853084,0.03532089998770971,False,0.005303600002662279,17.900886600007652
3,10000,44,0.08555360000173096,False,0.5856460999966657,0.13042249999853084,0.0592185999994399,False,0.01065730000846088,17.900886600007652
3,1000,45,0.08555360000173096,False,0.5867184250018909,0.1316397250011505,0.007008500004303642,False,0.002336799996555783,17.900886600007652
3,2000,45,0.08555360000173096,False,0.5867184250018909,0.1316397250011505,0.010801900003571063,False,0.0026439000066602603,17.900886600007652
3,5000,45,0.08555360000173096,False,0.5867184250018909,0.1316397250011505,0.034985199992661364,False,0.005754000012530014,17.900886600007652
3,10000,45,0.08555360000173096,False,0.5867184250018909,0.1316397250011505,0.08634359999268781,False,0.009628200001316145,17.900886600007652
3,1000,46,0.08555360000173096,False,0.605518275002396,0.1311326499999268,0.006036599996150471,False,0.0025529999984428287,17.900886600007652
3,2000,46,0.08555360000173096,False,0.605518275002396,0.1311326499999268,0.013344300008611754,False,0.00279880000744015,17.900886600007652
3,5000,46,0.08555360000173096,False,0.605518275002396,0.1311326499999268,0.0361957999994047,False,0.0060535999946296215,17.900886600007652
3,10000,46,0.08555360000173096,False,0.605518275002396,0.1311326499999268,0.061550400001578964,False,0.009291300011682324,17.900886600007652
