outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
1,10000,45,84,5,30,time.perf_counter_ns,2364900,133375300,7876400,143252750,1705389.880952381,629.8017698929262,500000,510000,10000,160000,80008,55216,1315224,60674,10941744,True,65f56e080ddd0aaabae724b235ee5af53d0f27a097e0ee762c7580514f03e433,8.881784197001252e-16
1,10000,46,84,5,30,time.perf_counter_ns,2397100,132878450,8189750,143267550,1705566.0714285714,632.1566815386543,500000,510000,10000,160000,80008,55216,1315224,60768,10941744,True,445964c1f1cda096b1c9384fe04940f514f6e5d848e6e46908d7c5756c48c574,4.440892098500626e-16
2,1000,42,84,5,30,time.perf_counter_ns,2310800,9879050,644300,12811800,152521.42857142858,8502.841872447249,50000,51000,1000,16000,8008,52496,178504,6994,4474720,True,8464e1a695d96a26133be2f433ec6bf242da4f64061ac2490b8af988d537b0f2,4.440892098500626e-16
2,1000,43,84,5,30,time.perf_counter_ns,2049950,9262950,759750,12281150,146204.16666666666,9068.385341602836,50000,51000,1000,16000,8008,52496,178504,6989,4474720,True,4b6d9be9f39f1c1688349cf937e8dc3cb250c2c7b255f94cc3694f114a846791,4.440892098500626e-16
2,1000,44,84,5,30,time.perf_counter_ns,2098700,9712300,669750,12546950,149368.45238095237,8648.826745467088,50000,51000,1000,16000,8008,52496,178504,7128,4474720,True,e0be30779863e3fe09ee2f3ae3747f355b13427a18ecf60c4808734d76abad63,4.440892098500626e-16
2,1000,45,84,5,30,time.perf_counter_ns,2110400,9492100,642700,12310350,146551.7857142857,8849.464291358077,50000,51000,1000,16000,8008,52496,178504,7274,4474720,True,7df4160b00042ce54e94494f7257fb796f1c74a5ff45b28575a55b27f5ab2d05,8.881784197001252e-16
2,1000,46,84,5,30,time.perf_counter_ns,2159450,9277600,615650,12237550,145685.11904761905,9054.06570664827,50000,51000,1000,16000,8008,52496,178504,6911,4474720,True,3fd515ed0a991827e1d1470421c6c8ed53d657cdfc5df66709374a8b80d1f1ac,4.440892098500626e-16
2,2000,42,84,5,30,time.perf_counter_ns,2174050,18799400,1182700,22267350,265087.5,4468.227709394981,100000,102000,2000,32000,16008,52496,304504,13029,4474720,True,f090821968d0ec1fff80d464868b35ae08d71a24abb4249e467d904d3be6ede7,4.440892098500626e-16
2,2000,43,84,5,30,time.perf_counter_ns,2017200,19295400,1675400,23055300,274467.85714285716,4353.369196803383,100000,102000,2000,32000,16008,52496,304504,13126,4474720,True,e5fcd11d0ced92fe4beeb4d6694b7f0f719ec82ff3c6603bb5b439877f428c2a,8.881784197001252e-16
2,2000,44,84,5,30,time.perf_counter_ns,2177150,18972200,1094250,22585700,268877.38095238095,4427.530808235207,100000,102000,2000,32000,16008,52496,304504,13386,4474720,True,7833fed33cf84ae16a67393a12d5ec0be3ebe00ac67fe65ae3e6e26215551959,8.881784197001252e-16
2,2000,45,84,5,30,time.perf_counter_ns,2310100,18894050,1201850,22463150,267418.45238095237,4445.844062019525,100000,102000,2000,32000,16008,52496,304504,13417,4474720,True,e64091a69f75027f3941851c9c7447dec303bc8caaaea5fffa1544289a34c44f,8.881784197001252e-16
2,2000,46,84,5,30,time.perf_counter_ns,2188900,18995500,1059300,22105400,263159.5238095238,4422.0999710457745,100000,102000,2000,32000,16008,52496,304504,13477,4474720,True,b7928b354331152c46b0a57d213dc80964015b15669c276f836f696d6a433f4f,8.881784197001252e-16
