dimension,levels,k,seed,encoding_time_seconds,prototype_training_time_seconds,inference_time_seconds,model_bytes
2000,21,50,42,0.8404105000081472,0.002458399991155602,0.01611379999667406,240224
5000,21,50,42,0.8404105000081472,0.005105799995362759,0.007511500007240102,504224
2000,21,100,42,1.6944368000113172,0.0021575999999186024,0.0032621999853290617,341024
5000,21,100,42,1.6944368000113172,0.004716900002676994,0.007330499996896833,755024
2000,21,200,42,3.3722624000074575,0.0021401999838417396,0.001988299991353415,542624
5000,21,200,42,3.3722624000074575,0.004925800007185899,0.006935300014447421,1256624
2000,21,all,42,24.792712499998743,0.0020958999957656488,0.0021714000031352043,3419456
5000,21,all,42,24.792712499998743,0.004761199990753084,0.007869299995945767,8414456
2000,51,50,42,0.8851551999978255,0.002224299998488277,0.002300500011187978,300224
5000,51,50,42,0.8851551999978255,0.004775499997776933,0.006866900002933107,654224
2000,51,100,42,1.7290386999957263,0.0021222000068519264,0.001821500001824461,401024
5000,51,100,42,1.7290386999957263,0.004695800016634166,0.006289199998718686,905024
2000,51,200,42,3.4178725999954622,0.002054400014458224,0.0017840000073192641,602624
5000,51,200,42,3.4178725999954622,0.004709499989985488,0.006697899996652268,1406624
2000,51,all,42,23.69863980000082,0.0019773000094573945,0.0018191999988630414,3479456
5000,51,all,42,23.69863980000082,0.004711400004453026,0.006624000001465902,8564456
