dimension,levels,k,seed,encoding_time_seconds,prototype_training_time_seconds,inference_time_seconds,model_bytes
2000,21,50,42,0.844992899990757,0.002114099988830276,0.015134700006456114,240224
5000,21,50,42,0.844992899990757,0.004791000013938174,0.00666800000180956,504224
2000,21,100,42,1.6661722999997437,0.0022041000047465786,0.002363900013733655,341024
5000,21,100,42,1.6661722999997437,0.006243000010726973,0.0074797999986913055,755024
2000,21,200,42,3.2949609000061173,0.001888300001155585,0.002235999985714443,542624
5000,21,200,42,3.2949609000061173,0.00466640001104679,0.007122600014554337,1256624
2000,21,all,42,25.196430099982535,0.0020354000153020024,0.0028393000102369115,3419456
5000,21,all,42,25.196430099982535,0.004763399978401139,0.00792719998571556,8414456
2000,51,50,42,0.8491352999844821,0.002178100010496564,0.0023604999878443778,300224
5000,51,50,42,0.8491352999844821,0.004857300009462051,0.007085399993229657,654224
2000,51,100,42,1.6661486999801127,0.0020169999916106462,0.0022661999973934144,401024
5000,51,100,42,1.6661486999801127,0.0045587999920826405,0.0070377999800257385,905024
2000,51,200,42,3.316943999976502,0.0020548000029521063,0.002123300000675954,602624
5000,51,200,42,3.316943999976502,0.00455810000130441,0.006449100008467212,1406624
2000,51,all,42,25.207193499983987,0.0019736999965971336,0.002173799992306158,3479456
5000,51,all,42,25.207193499983987,0.004663100000470877,0.006526799988932908,8564456
