dimension,levels,k,seed,encoding_time_seconds,prototype_training_time_seconds,inference_time_seconds,model_bytes
2000,21,50,42,0.86290320000262,0.0021299999934853986,0.015138799994019791,240224
5000,21,50,42,0.86290320000262,0.005007199986721389,0.006745299993781373,504224
2000,21,100,42,1.7042974999931175,0.0021121000027051196,0.0026578999968478456,341024
5000,21,100,42,1.7042974999931175,0.004608599992934614,0.006411799986381084,755024
2000,21,200,42,3.3657889000023715,0.0018277999915881082,0.002614999990328215,542624
5000,21,200,42,3.3657889000023715,0.004391800015582703,0.007712299993727356,1256624
2000,21,all,42,23.711296800000127,0.0019193000043742359,0.0026356000162195414,3419456
5000,21,all,42,23.711296800000127,0.004603199995472096,0.00628039997536689,8414456
2000,51,50,42,0.8644566999864765,0.002226300013717264,0.0025633999903220683,300224
5000,51,50,42,0.8644566999864765,0.00471890001790598,0.007226900008390658,654224
2000,51,100,42,1.709963899993454,0.0020763999928021803,0.0023735000140732154,401024
5000,51,100,42,1.709963899993454,0.004811200007679872,0.007450499979313463,905024
2000,51,200,42,3.369716999994125,0.002098499986459501,0.0024255000025732443,602624
5000,51,200,42,3.369716999994125,0.00488999999652151,0.007114799998817034,1406624
2000,51,all,42,23.539374399988446,0.0020425000111572444,0.001811699999962002,3479456
5000,51,all,42,23.539374399988446,0.0048605999909341335,0.007308200016268529,8564456
