dimension,levels,k,seed,encoding_time_seconds,prototype_training_time_seconds,inference_time_seconds,model_bytes
2000,21,50,42,0.885024599992903,0.0022402000031434,0.02255369997874368,237536
5000,21,50,42,0.885024599992903,0.005160600005183369,0.009407100005773827,501536
2000,21,100,42,1.765385899998364,0.0019730000058189034,0.0017522000125609338,338336
5000,21,100,42,1.765385899998364,0.004698399992776103,0.0077148999844212085,752336
2000,21,200,42,3.6259298999939347,0.0020696000137832016,0.0018686999974306673,539936
5000,21,200,42,3.6259298999939347,0.004757800008519553,0.007734100014204159,1253936
2000,21,all,42,28.149088799997116,0.002715599985094741,0.0019227000011596829,3247424
5000,21,all,42,28.149088799997116,0.0057222999894293025,0.0073496000113664195,7990424
2000,51,50,42,0.909423599994625,0.002054100012173876,0.002936900025815703,297536
5000,51,50,42,0.909423599994625,0.004863599999225698,0.007493099998100661,651536
2000,51,100,42,1.7977597000135574,0.00209569999424275,0.0027336000057403,398336
5000,51,100,42,1.7977597000135574,0.004728300002170727,0.007244699998409487,902336
2000,51,200,42,3.651484599991818,0.002066499990178272,0.0031104999943636358,599936
5000,51,200,42,3.651484599991818,0.004721899967989884,0.006745199993019924,1403936
2000,51,all,42,27.993385599998874,0.002126600025803782,0.00275580000015907,3307424
5000,51,all,42,27.993385599998874,0.004687399996328168,0.007495599988033064,8140424
