variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.05,0.5662544593776027,0.6531244643612375,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.1,0.7517598061212671,0.8504320535989122,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.2,0.8676530222183881,0.9753127167569733,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.5,0.9437023814499873,1.057265262291132,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,1.0,0.9696461912092998,1.085558583617072,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,2.0,0.9826998979419663,1.099864832864326,0.07646599999861792,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.05,0.6123789581079713,0.7194905734144502,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.1,0.7330912100469352,0.8544515996945197,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.2,0.8536284296066659,0.9692642661444247,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.5,0.9403437477885641,1.0548935285723742,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,1.0,0.9700682177346347,1.0859250768390514,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,2.0,0.9850166631052745,1.1018525794109324,0.07502930000191554,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.05,0.59806783378,0.6748751186485602,0.07911769999191165,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.1,0.7385000858245945,0.85668525765986,0.07911769999191165,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.2,0.8565785021680884,0.9736270931676082,0.07911769999191165,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.5,0.9404768863014623,1.0563084545504549,0.07911769999191165,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,1.0,0.9699316427141618,1.086470137644491,0.07911769999191165,48000
hybrid,1,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,2.0,0.9848959983279048,1.1020749033759298,0.07911769999191165,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.05,0.5120012282185091,0.6022188274929423,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.1,0.6974614488824644,0.8011335633041018,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.2,0.8342747543306063,0.9434888270019393,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.5,0.9288851889812354,1.042707689655733,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,1.0,0.962012489003444,1.0779741968416292,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,2.0,0.9788295306703904,1.0959968923258845,0.07689120000577532,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.05,0.631411410573093,0.7454585747060463,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.1,0.7324783891360246,0.8645545763516512,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.2,0.8435141505382211,0.9676963436716097,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,0.5,0.934512646871034,1.0517226796848362,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,1.0,0.966846274308499,1.0838582179481115,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,2,2.0,0.9833297828769919,1.100695486350849,0.0782576999918092,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.05,0.5567217193829821,0.633432764230771,0.0892388999927789,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.1,0.7148387164408805,0.8287590782534855,0.0892388999927789,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.2,0.8481965244341587,0.9615267244415615,0.0892388999927789,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,0.5,0.9379387504056075,1.0526518901376622,0.0892388999927789,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,1.0,0.9688055430639653,1.0848972969029116,0.0892388999927789,48000
hybrid,1,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,3,2.0,0.9843683681601048,1.101356858023108,0.0892388999927789,48000
hybrid,1,1000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.05,0.5750068318390938,0.662630971527217,0.09366759998374619,48000
hybrid,1,1000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.1,0.7291715713976358,0.8450631832259181,0.09366759998374619,48000
hybrid,1,1000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,1,0.2,0.8536025976230962,0.9676359978055286,0.09366759998374619,48000
