variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.2,0.8389330428445042,0.9567566411084826,0.1142458000103943,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.5,0.9326607704340082,1.0486956458607237,0.1142458000103943,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,1.0,0.9659130021597293,1.0825735543892647,0.1142458000103943,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,2.0,0.9828608082377921,1.1001098453565377,0.1142458000103943,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.05,0.6677990860307388,0.7654289234968182,0.11934600002132356,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.1,0.8021529696039023,0.9087664158553785,0.11934600002132356,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.2,0.895999872864757,1.0025810906334602,0.11934600002132356,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.5,0.9573772500183337,1.0688899759430721,0.11934600002132356,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,1.0,0.9785469393225207,1.092946840692373,0.11934600002132356,32000
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,2.0,0.9892414249015189,1.1053605221238667,0.11934600002132356,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.05,0.6764272009079695,0.7806301582584674,0.11193309997906908,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.1,0.8296877634757704,0.9363891601796993,0.11193309997906908,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.2,0.9150413364683144,1.0257098202659733,0.11193309997906908,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.5,0.96819555240195,1.082611251155239,0.11193309997906908,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,1.0,0.986153260071937,1.1020820425617606,0.11193309997906908,32000
