variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
onlinehd,5,5000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7228915662650602,0.7214285714285714,0.6897207367795604,0.6892683031591608,0.03614457831325301,21,0,0,0,12,6,1,2,1,0,12,7,0,0,0,21
onlinehd,5,5000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7710843373493976,0.7714285714285714,0.7497344894804061,0.7486215885927254,0.012048192771084338,20,1,0,0,12,7,2,0,1,0,16,3,0,0,0,21
onlinehd,5,5000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7228915662650602,0.7244047619047619,0.643248581284077,0.6414720861860707,0.012048192771084338,21,0,0,0,14,1,6,0,1,0,17,2,0,0,0,21
onlinehd,5,5000,45,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7831325301204819,0.7851190476190476,0.7758585858585859,0.7760496531580868,0.03614457831325301,14,4,2,1,1,11,9,0,0,0,19,1,0,0,0,21
onlinehd,5,5000,46,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7349397590361446,0.7303571428571429,0.7178418711600787,0.720243357336483,0.03614457831325301,15,6,0,0,2,19,0,0,2,9,7,2,1,0,0,20
onlinehd,5,10000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7228915662650602,0.724404761904762,0.7044534412955465,0.7024372794823016,0.08433734939759036,21,0,0,0,14,5,2,0,3,0,17,0,4,0,0,17
onlinehd,5,10000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.8313253012048193,0.8321428571428572,0.8119318181818183,0.811856516976999,0.0,21,0,0,0,6,9,6,0,0,0,18,2,0,0,0,21
onlinehd,5,10000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.8554216867469879,0.8565476190476191,0.8441531084352115,0.8439183704207397,0.0,20,1,0,0,5,11,5,0,0,0,19,1,0,0,0,21
onlinehd,5,10000,45,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.6987951807228916,0.7,0.6514751552795032,0.6496856993190152,0.012048192771084338,3,17,1,0,0,18,3,0,0,0,16,4,0,0,0,21
onlinehd,5,10000,46,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7108433734939759,0.7125,0.6511622435535479,0.6492542728792073,0.03614457831325301,2,16,3,0,0,19,2,0,0,1,17,2,0,0,0,21
