variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.6024096385542169,0.5958333333333333,0.5276059359914178,0.5328151870848314,0.0,8,13,0,0,1,20,0,0,0,14,1,5,0,0,0,21
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.6144578313253012,0.6178571428571429,0.5765311004784689,0.5758678734075057,0.07228915662650602,4,11,6,0,0,8,13,0,0,0,18,2,0,0,0,21
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.5903614457831325,0.5869047619047619,0.522297934623516,0.5230299764679143,0.0,1,20,0,0,0,21,0,0,0,13,6,1,0,0,0,21
onlinehd,5,1000,45,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.8313253012048193,0.8285714285714285,0.826519770879527,0.827715518392862,0.012048192771084338,18,3,0,0,1,19,1,0,0,5,12,3,1,0,0,20
onlinehd,5,1000,46,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7469879518072289,0.7494047619047619,0.6915060137784037,0.6910329629712852,0.024096385542168676,19,0,2,0,7,3,11,0,0,0,19,1,0,0,0,21
onlinehd,5,2000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7710843373493976,0.7708333333333333,0.7465277777777778,0.7454819277108434,0.012048192771084338,21,0,0,0,12,7,1,1,0,0,15,5,0,0,0,21
onlinehd,5,2000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7108433734939759,0.7124999999999999,0.6306778769403354,0.629916435083949,0.024096385542168676,21,0,0,0,8,1,12,0,1,0,17,2,1,0,0,20
onlinehd,5,2000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.7469879518072289,0.7440476190476191,0.7362903225806452,0.7371291618085244,0.0,10,11,0,0,0,21,0,0,0,7,10,3,0,0,0,21
onlinehd,5,2000,45,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.6867469879518072,0.6869047619047619,0.6383646245059289,0.6364172103433496,0.0,2,19,0,0,0,20,1,0,0,4,14,2,0,0,0,21
onlinehd,5,2000,46,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.6385542168674698,0.6422619047619047,0.5875631729290266,0.587705409039526,0.0963855421686747,14,0,7,0,1,1,19,0,0,0,19,1,1,0,1,19
