variant,outer_fold,inner_fold,candidate_id,dimension,centroids_per_class,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
hybrid,5,1,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.9256912442396313,0.9257879124953652,0.925,0.008333333333333333,0.9655172413793104,0.8709677419354839,0.8666666666666667,1.0,0.1362158999836538,0.0006830999918747693,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":55}"
hybrid,5,2,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.8510293951331688,0.8518518518518519,0.8518518518518519,0.018518518518518517,0.8518518518518519,0.7407407407407407,0.8148148148148148,1.0,0.13919839999289252,0.0004613999917637557,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":37}"
hybrid,5,3,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.773109243697479,0.7777777777777778,0.7777777777777778,0.08333333333333333,0.7407407407407407,0.7037037037037037,0.6666666666666666,1.0,0.13391400000546128,0.00046770001063123345,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":31}"
hybrid,5,1,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.839885265700483,0.8379310344827586,0.8416666666666667,0.008333333333333333,0.5517241379310345,1.0,0.8,1.0,0.0819912999868393,0.0005213999829720706,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":208}"
hybrid,5,2,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.8346192420660505,0.8333333333333333,0.8333333333333334,0.009259259259259259,0.8148148148148148,0.8148148148148148,0.7037037037037037,1.0,0.0842529000074137,0.0004693999944720417,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":215}"
hybrid,5,3,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.7716403162055335,0.7777777777777778,0.7777777777777778,0.05555555555555555,0.5925925925925926,0.7037037037037037,0.8148148148148148,1.0,0.08145679999142885,0.00046469998778775334,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":193}"
hybrid,5,1,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.9086582375847314,0.9093900630329996,0.9083333333333333,0.016666666666666666,0.9655172413793104,0.8387096774193549,0.8333333333333334,1.0,0.08015689998865128,0.0005209999799262732,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":82}"
hybrid,5,2,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.8343447293447294,0.8333333333333333,0.8333333333333334,0.018518518518518517,0.9259259259259259,0.7407407407407407,0.8148148148148148,0.8518518518518519,0.08240200000000186,0.0004661999992094934,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":70}"
hybrid,5,3,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.7746177551262297,0.7777777777777778,0.7777777777777778,0.05555555555555555,0.7407407407407407,0.7037037037037037,0.6666666666666666,1.0,0.0794737999967765,0.0004697999975178391,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":62}"
hybrid,5,1,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.7107439140486876,0.7045606229143493,0.7083333333333334,0.0,0.4827586206896552,0.9354838709677419,0.5,0.9,0.0826457999937702,0.000515899999300018,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":204}"
hybrid,5,2,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.7297867063492064,0.7407407407407407,0.7407407407407407,0.027777777777777776,0.7777777777777778,0.7037037037037037,0.48148148148148145,1.0,0.08398930000839755,0.0004676000098697841,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":204}"
hybrid,5,3,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.453140681475243,0.5185185185185185,0.5185185185185185,0.027777777777777776,0.07407407407407407,0.8148148148148148,0.18518518518518517,1.0,0.0811212999979034,0.00046109998947940767,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":190}"
hybrid,5,1,candidate_005,2000,2,3,0.05,0.0,51,50,42,0.9255587632706277,0.9246755654430849,0.925,0.016666666666666666,0.896551724137931,0.9354838709677419,0.8666666666666667,1.0,0.12522340001305565,0.0005164999747648835,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":115}"
hybrid,5,2,candidate_005,2000,2,3,0.05,0.0,51,50,42,0.8427197802197803,0.8425925925925926,0.8425925925925926,0.009259259259259259,0.8518518518518519,0.7407407407407407,0.8888888888888888,0.8888888888888888,0.12975580000784248,0.00046789998305030167,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":100}"
hybrid,5,3,candidate_005,2000,2,3,0.05,0.0,51,50,42,0.8018768320100174,0.8055555555555556,0.8055555555555556,0.06481481481481481,0.7777777777777778,0.7037037037037037,0.7407407407407407,1.0,0.12812089998624288,0.0004670000053010881,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":88}"
hybrid,5,1,candidate_006,2000,2,3,0.05,0.1,51,50,42,0.8746529807130333,0.8760011123470524,0.875,0.016666666666666666,0.8620689655172413,0.7419354838709677,0.9333333333333333,0.9666666666666667,0.1312614000053145,0.0005169000069145113,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":525}"
hybrid,5,2,candidate_006,2000,2,3,0.05,0.1,51,50,42,0.8694423997055576,0.8703703703703703,0.8703703703703703,0.009259259259259259,0.8888888888888888,0.7407407407407407,0.8518518518518519,1.0,0.13883899999200366,0.0004678000113926828,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":522}"
hybrid,5,3,candidate_006,2000,2,3,0.05,0.1,51,50,42,0.7925672784837204,0.7962962962962963,0.7962962962962963,0.05555555555555555,0.7037037037037037,0.7037037037037037,0.7777777777777778,1.0,0.13239859999157488,0.00047030000132508576,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":453}"
hybrid,5,1,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.7596238785344538,0.7695402298850574,0.775,0.025,0.3448275862068966,1.0,0.7333333333333333,1.0,0.1255230999959167,0.0005194999976083636,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":137}"
hybrid,5,2,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.888764537349443,0.8888888888888888,0.8888888888888888,0.009259259259259259,0.8888888888888888,0.7777777777777778,0.9259259259259259,0.9629629629629629,0.13010129999020137,0.00046660000225529075,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":132}"
hybrid,5,3,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.8407141591352117,0.8425925925925926,0.8425925925925926,0.037037037037037035,0.7407407407407407,0.7777777777777778,0.8518518518518519,1.0,0.1286174000124447,0.0004880000196862966,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":113}"
hybrid,5,1,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.823172889968532,0.8373470522803115,0.8333333333333334,0.016666666666666666,0.9655172413793104,0.4838709677419355,0.9,1.0,0.1307444999984,0.0005196000274736434,0.04150980000849813,0.2749022000061814,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,23],""1"":[41,13],""2"":[28,26],""3"":[22,32]}},""updates"":481}"
hybrid,5,2,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.8310728744939271,0.8333333333333334,0.8333333333333334,0.027777777777777776,0.8148148148148148,0.7037037037037037,0.8148148148148148,1.0,0.1346293000096921,0.00046239999937824905,0.03972610001801513,0.26582490000873804,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[39,17],""1"":[14,44],""2"":[21,36],""3"":[29,28]}},""updates"":463}"
hybrid,5,3,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.7882407066617593,0.7962962962962963,0.7962962962962963,0.05555555555555555,0.7407407407407407,0.5185185185185185,0.9259259259259259,1.0,0.1415370000177063,0.0006301999965216964,0.036325100023532286,0.26247019998845644,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":57,""3"":57},""cluster_counts"":{""0"":[49,7],""1"":[18,40],""2"":[43,14],""3"":[21,36]}},""updates"":391}"
hybrid,5,1,candidate_009,2000,3,1,0.05,0.0,51,50,42,0.8747474747474748,0.8740452354467927,0.875,0.008333333333333333,0.7241379310344828,0.8387096774193549,0.9333333333333333,1.0,0.16672079998534173,0.0005912999913562089,0.04150980000849813,0.2749022000061814,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":54,""1"":54,""2"":54,""3"":54},""cluster_counts"":{""0"":[27,6,21],""1"":[8,28,18],""2"":[22,25,7],""3"":[13,18,23]}},""updates"":44}"
