variant,outer_fold,inner_fold,candidate_id,dimension,centroids_per_class,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
multicentroid,4,1,candidate_001,2000,2,51,50,42,0.8240533659888499,0.8235632183908046,0.8235294117647058,0.01680672268907563,0.7,0.7666666666666667,0.8275862068965517,1.0,0.12396939998143353,0.0014891000173520297,0.033113000012235716,0.27154580000205897,64000,float32,int8,0,"{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[35,18],""1"":[35,20],""2"":[40,14],""3"":[31,23]}}"
multicentroid,4,2,candidate_001,2000,2,51,50,42,0.7779774383547969,0.7777777777777778,0.7777777777777778,0.046296296296296294,0.7407407407407407,0.6666666666666666,0.7777777777777778,0.9259259259259259,0.11986209999304265,0.000607299996772781,0.03734549999353476,0.26244029999361373,64000,float32,int8,0,"{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[24,32],""1"":[53,5],""2"":[44,12],""3"":[23,34]}}"
multicentroid,4,3,candidate_001,2000,2,51,50,42,0.8963882059097902,0.8998015873015873,0.8981481481481481,0.027777777777777776,1.0,0.8214285714285714,0.7777777777777778,1.0,0.11945320002269,0.0008245000208262354,0.040443900012178347,0.26200700001209043,64000,float32,int8,0,"{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[28,29],""1"":[20,37],""2"":[32,24],""3"":[32,25]}}"
multicentroid,4,1,candidate_002,2000,3,51,50,42,0.8303853897037676,0.8330459770114943,0.8319327731092437,0.03361344537815126,0.7666666666666667,0.7,0.9655172413793104,0.9,0.13375839998479933,0.0012907999916933477,0.033113000012235716,0.27154580000205897,96000,float32,int8,0,"{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[12,17,24],""1"":[15,7,33],""2"":[12,31,11],""3"":[3,28,23]}}"
multicentroid,4,2,candidate_002,2000,3,51,50,42,0.8055992313067785,0.8055555555555555,0.8055555555555556,0.046296296296296294,0.7777777777777778,0.7037037037037037,0.7777777777777778,0.9629629629629629,0.13705130000016652,0.0007946999976411462,0.03734549999353476,0.26244029999361373,96000,float32,int8,0,"{""centroids_per_class"":3,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[25,20,11],""1"":[13,32,13],""2"":[12,30,14],""3"":[30,19,8]}}"
multicentroid,4,3,candidate_002,2000,3,51,50,42,0.8785811382667367,0.8815883190883191,0.8796296296296297,0.018518518518518517,0.9615384615384616,0.75,0.8148148148148148,1.0,0.13846089999424294,0.0007572000031359494,0.040443900012178347,0.26200700001209043,96000,float32,int8,0,"{""centroids_per_class"":3,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[10,18,29],""1"":[22,24,11],""2"":[21,20,15],""3"":[2,25,30]}}"
multicentroid,4,1,candidate_003,2000,4,51,50,42,0.7519708361813624,0.7566091954022989,0.7563025210084033,0.03361344537815126,0.7666666666666667,0.5333333333333333,0.7931034482758621,0.9333333333333333,0.1450409000099171,0.000773799984017387,0.033113000012235716,0.27154580000205897,128000,float32,int8,0,"{""centroids_per_class"":4,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[15,9,16,13],""1"":[26,6,2,21],""2"":[3,22,9,20],""3"":[6,16,29,3]}}"
multicentroid,4,2,candidate_003,2000,4,51,50,42,0.7983989717480284,0.7962962962962963,0.7962962962962963,0.027777777777777776,0.8148148148148148,0.7037037037037037,0.7037037037037037,0.9629629629629629,0.15005540000856854,0.0005644999910145998,0.03734549999353476,0.26244029999361373,128000,float32,int8,0,"{""centroids_per_class"":4,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[14,22,17,3],""1"":[4,9,21,24],""2"":[12,24,15,5],""3"":[9,11,5,32]}}"
multicentroid,4,3,candidate_003,2000,4,51,50,42,0.8041446760786384,0.8070818070818071,0.8055555555555556,0.037037037037037035,0.8076923076923077,0.6428571428571429,0.7777777777777778,1.0,0.15423409998766147,0.0006336999940685928,0.040443900012178347,0.26200700001209043,128000,float32,int8,0,"{""centroids_per_class"":4,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[17,13,11,16],""1"":[17,22,2,16],""2"":[6,18,19,13],""3"":[15,16,17,9]}}"
multicentroid,4,1,candidate_004,5000,2,51,50,42,0.821559389102337,0.8244252873563218,0.8235294117647058,0.01680672268907563,0.7333333333333333,0.6666666666666666,0.9310344827586207,0.9666666666666667,0.22805020000669174,0.0031777999829500914,0.033113000012235716,0.27154580000205897,160000,float32,int8,0,"{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[21,32],""1"":[16,39],""2"":[42,12],""3"":[23,31]}}"
