variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
multicentroid,1,1000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7380952380952381,0.7380952380952381,0.7322874493927125,0.7322874493927126,0.07142857142857142,14,4,0,3,3,12,3,3,0,2,15,4,0,0,0,21
multicentroid,1,1000,43,51,50,"{""centroids_per_class"":2}",0.05,0.75,0.75,0.746002024291498,0.746002024291498,0.07142857142857142,15,3,0,3,2,13,3,3,0,3,14,4,0,0,0,21
multicentroid,1,1000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7704116059379218,0.7704116059379218,0.07142857142857142,16,2,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,1000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7719334719334718,0.771933471933472,0.07142857142857142,15,3,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,1000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7839068825910931,0.7839068825910932,0.07142857142857142,15,3,0,3,2,14,2,3,0,1,16,4,0,0,0,21
multicentroid,1,2000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7842442645074224,0.7842442645074224,0.07142857142857142,16,2,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,2000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7719334719334718,0.771933471933472,0.07142857142857142,15,3,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,2000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7704116059379218,0.7704116059379218,0.07142857142857142,16,2,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,2000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7842442645074224,0.7842442645074224,0.07142857142857142,16,2,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,2000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7704116059379218,0.7704116059379218,0.07142857142857142,16,2,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,5000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7842442645074224,0.7842442645074224,0.07142857142857142,16,2,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,5000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7704116059379218,0.7704116059379218,0.07142857142857142,16,2,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,5000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.782406444906445,0.7824064449064448,0.07142857142857142,17,1,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,5000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190477,0.7963900134952766,0.7963900134952766,0.07142857142857142,17,1,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,5000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190477,0.7963900134952766,0.7963900134952766,0.07142857142857142,17,1,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,10000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190477,0.7973178137651822,0.7973178137651822,0.07142857142857142,16,2,0,3,1,15,2,3,0,2,15,4,0,0,0,21
multicentroid,1,10000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7842442645074224,0.7842442645074224,0.07142857142857142,16,2,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,10000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7738095238095238,0.7738095238095238,0.7704116059379218,0.7704116059379218,0.07142857142857142,16,2,0,3,2,13,3,3,0,2,15,4,0,0,0,21
multicentroid,1,10000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190477,0.7963900134952766,0.7963900134952766,0.07142857142857142,17,1,0,3,1,14,3,3,0,2,15,4,0,0,0,21
multicentroid,1,10000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190477,0.7963900134952766,0.7963900134952766,0.07142857142857142,17,1,0,3,1,14,3,3,0,2,15,4,0,0,0,21
