variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
multicentroid,5,1000,42,51,50,"{""centroids_per_class"":3}",0.05,0.7158630760952427,0.7158630760952427,0.8097912536413662,0.48038376429126195,0.900336625219754
multicentroid,5,1000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7570105504231293,0.7570105504231293,0.8467878507908279,0.4318202050842841,0.8876985722858675
multicentroid,5,1000,44,51,50,"{""centroids_per_class"":3}",0.05,0.6739064696141194,0.6739064696141194,0.7615258974205829,0.5404784288895236,0.9056042870772747
multicentroid,5,1000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7243803646404372,0.7243803646404372,0.814433181169481,0.4744095479644106,0.8925651981583502
multicentroid,5,1000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7024966265807937,0.7024966265807937,0.798911326893088,0.49425254492154413,0.9150015356996415
multicentroid,5,2000,42,51,50,"{""centroids_per_class"":3}",0.05,0.7396593729004859,0.7396593729004859,0.8404459833516847,0.44029889953181345,0.8867555957805088
multicentroid,5,2000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7342013698487462,0.7342013698487462,0.8308998946889634,0.45294126518581024,0.879320171841704
multicentroid,5,2000,44,51,50,"{""centroids_per_class"":3}",0.05,0.6819554281227339,0.6819554281227339,0.7691893759452889,0.5311832680462074,0.9019732855911236
multicentroid,5,2000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7323344112170354,0.7323344112170354,0.8307083864695584,0.4531934114948176,0.86803697020862
multicentroid,5,2000,46,51,50,"{""centroids_per_class"":3}",0.05,0.6851506032383172,0.6851506032383172,0.7791356038221046,0.5189805360124512,0.9227079298986066
multicentroid,5,5000,42,51,50,"{""centroids_per_class"":3}",0.05,0.7091171314740119,0.7091171314740119,0.8083744558139992,0.48220039823581096,0.8835147914689889
multicentroid,5,5000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7341619392058201,0.7341619392058201,0.8315514205617945,0.4520830085864833,0.8933130760763933
multicentroid,5,5000,44,51,50,"{""centroids_per_class"":3}",0.05,0.7088922691558812,0.7088922691558812,0.7964083644365896,0.4974165604779044,0.9119883464066565
multicentroid,5,5000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7107729306513966,0.7107729306513966,0.8035951892873329,0.488304962343578,0.9041518864828142
multicentroid,5,5000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7096067075669004,0.7096067075669004,0.8060101623017963,0.4852248380763826,0.8937249508718373
multicentroid,5,10000,42,51,50,"{""centroids_per_class"":3}",0.05,0.706223419718461,0.706223419718461,0.7949336754080295,0.49927607910938787,0.9078262432105909
multicentroid,5,10000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7100301417888546,0.7100301417888546,0.8011451791946985,0.49142032923464074,0.9091594168905807
multicentroid,5,10000,44,51,50,"{""centroids_per_class"":3}",0.05,0.7161808617513038,0.7161808617513038,0.8062552227192906,0.48491176462009034,0.9023309663345355
multicentroid,5,10000,45,51,50,"{""centroids_per_class"":3}",0.05,0.712894136749175,0.712894136749175,0.8095827319467647,0.4806513327720795,0.8999572668555293
multicentroid,5,10000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7120606987922294,0.7120606987922294,0.8078409939778536,0.48288358455075786,0.8931938491619227
