variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,1,0.1,0.8527290305257013,0.9585359763128911,0.05239970001275651,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,1,0.2,0.925983788889696,1.0359448171418983,0.05239970001275651,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,1,0.5,0.9723935253984698,1.0864442610555562,0.05239970001275651,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,1,1.0,0.9882192638672403,1.1039498159139098,0.05239970001275651,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,1,2.0,0.9961918041208507,1.1128268375195183,0.05239970001275651,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,0.05,0.6758118879521257,0.7855859238502584,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,0.1,0.8260106003307789,0.9348097359468025,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,0.2,0.9108391194808747,1.0221599248800106,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,0.5,0.9639346475277342,1.0786297514609422,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,1.0,0.9819129606603907,1.098153420695915,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,2,2.0,0.9909442004669299,1.108048920519875,0.052771100017707795,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,0.05,0.696092754035764,0.789088828663208,0.053518000000622123,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,0.1,0.8339093570038343,0.9376161337059407,0.053518000000622123,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,0.2,0.9103807143927427,1.0210104443220742,0.053518000000622123,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,0.5,0.9582001661812524,1.0736491532329033,0.053518000000622123,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,1.0,0.9744116851151065,1.091592541314012,0.053518000000622123,48000
multicentroid,4,1000,44,51,50,"{""centroids_per_class"":3}",0.05,3,2.0,0.982562283929567,1.1006343297829129,0.053518000000622123,48000
multicentroid,4,1000,45,51,50,"{""centroids_per_class"":3}",0.05,1,0.05,0.7361775962527776,0.8511985616628427,0.05451449999236502,48000
multicentroid,4,1000,45,51,50,"{""centroids_per_class"":3}",0.05,1,0.1,0.8603841058824964,0.9711285344272061,0.05451449999236502,48000
multicentroid,4,1000,45,51,50,"{""centroids_per_class"":3}",0.05,1,0.2,0.9300589530107901,1.0422991530234562,0.05451449999236502,48000
