variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
multicentroid,2,1000,42,51,50,"{""centroids_per_class"":3}",0.05,0.7261904761904762,0.7291666666666667,0.7221181611921828,0.7203601323992702,0.05952380952380952,15,3,2,0,7,11,2,2,1,4,15,1,0,0,1,20
multicentroid,2,1000,43,51,50,"{""centroids_per_class"":3}",0.05,0.6666666666666666,0.6689935064935064,0.6602207617121671,0.6589749145360875,0.07142857142857142,13,5,2,0,8,10,2,2,2,3,13,3,0,0,1,20
multicentroid,2,1000,44,51,50,"{""centroids_per_class"":3}",0.05,0.7261904761904762,0.7285714285714285,0.7208482574336232,0.7194336828483171,0.07142857142857142,14,3,3,0,6,11,3,2,1,3,16,1,0,0,1,20
multicentroid,2,1000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7976190476190477,0.8001082251082252,0.7945736434108527,0.7936507936507935,0.047619047619047616,16,2,1,1,6,13,2,1,1,2,18,0,0,0,1,20
multicentroid,2,1000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7142857142857143,0.7167207792207791,0.7125968992248062,0.7118032484311554,0.08333333333333333,15,2,3,0,8,12,0,2,2,4,14,1,0,0,2,19
multicentroid,2,2000,42,51,50,"{""centroids_per_class"":3}",0.05,0.6785714285714286,0.6825757575757576,0.6687373134181644,0.6664779111587622,0.07142857142857142,14,4,1,1,10,8,1,3,1,3,15,2,0,0,1,20
multicentroid,2,2000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7619047619047619,0.7637445887445886,0.7570878733669432,0.7564773727564426,0.05952380952380952,14,4,2,0,7,12,1,2,1,1,18,1,0,0,1,20
multicentroid,2,2000,44,51,50,"{""centroids_per_class"":3}",0.05,0.6904761904761905,0.6933982683982685,0.6865208434975876,0.6850500920268361,0.07142857142857142,14,3,3,0,8,10,3,1,2,4,14,1,0,0,1,20
multicentroid,2,2000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7380952380952381,0.740530303030303,0.7374267347324637,0.7360897280069146,0.05952380952380952,15,2,3,0,7,12,2,1,1,5,15,0,0,0,1,20
multicentroid,2,2000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7738095238095238,0.7757034632034632,0.7715084050946218,0.7709408524921855,0.047619047619047616,15,3,1,1,7,13,1,1,1,2,17,1,0,0,1,20
multicentroid,2,5000,42,51,50,"{""centroids_per_class"":3}",0.05,0.7023809523809523,0.7048160173160173,0.7012351173917881,0.699422976044763,0.023809523809523808,15,3,2,0,8,12,2,0,0,7,12,2,0,0,1,20
multicentroid,2,5000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7261904761904762,0.729112554112554,0.7229041596238659,0.7217624163768595,0.05952380952380952,14,4,2,0,9,10,2,1,2,2,17,0,0,0,1,20
multicentroid,2,5000,44,51,50,"{""centroids_per_class"":3}",0.05,0.7023809523809523,0.7064393939393939,0.6923533289386947,0.6902083267936927,0.08333333333333333,15,2,3,0,8,9,3,2,2,4,14,1,0,0,0,21
multicentroid,2,5000,45,51,50,"{""centroids_per_class"":3}",0.05,0.7023809523809523,0.706439393939394,0.6981311975591151,0.6960063201481966,0.05952380952380952,15,2,3,0,10,9,2,1,1,5,15,0,0,0,1,20
multicentroid,2,5000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7142857142857143,0.7172619047619047,0.7096639471639472,0.708094683094683,0.05952380952380952,15,3,2,0,8,11,1,2,1,4,14,2,0,0,1,20
multicentroid,2,10000,42,51,50,"{""centroids_per_class"":3}",0.05,0.6904761904761905,0.6928571428571428,0.6880317640385706,0.6866677470761419,0.07142857142857142,14,3,3,0,7,11,3,1,2,5,13,1,0,0,1,20
multicentroid,2,10000,43,51,50,"{""centroids_per_class"":3}",0.05,0.7023809523809523,0.7058982683982684,0.6959728867623605,0.6941216678058783,0.05952380952380952,15,3,2,0,7,10,4,1,2,3,14,2,0,0,1,20
multicentroid,2,10000,44,51,50,"{""centroids_per_class"":3}",0.05,0.7380952380952381,0.7422077922077923,0.7313296383063825,0.7291066360833803,0.047619047619047616,16,2,2,0,7,10,4,1,1,3,16,1,0,0,1,20
multicentroid,2,10000,45,51,50,"{""centroids_per_class"":3}",0.05,0.75,0.7535714285714286,0.7444397390049564,0.743433297781124,0.05952380952380952,16,2,2,0,8,11,2,1,2,1,16,2,0,0,1,20
multicentroid,2,10000,46,51,50,"{""centroids_per_class"":3}",0.05,0.7857142857142857,0.7876623376623377,0.7832826088640042,0.7829702597144458,0.05952380952380952,16,2,2,0,5,14,2,1,2,1,16,2,0,0,1,20
