variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
hybrid,3,1000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8214285714285714,0.8214285714285714,0.8231972428419936,0.8231972428419936,0.03571428571428571,17,4,0,0,5,14,2,0,2,1,18,0,1,0,0,20
hybrid,3,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8571428571428571,0.8571428571428571,0.8593931475029035,0.8593931475029036,0.023809523809523808,17,4,0,0,2,18,1,0,1,2,18,0,1,0,1,19
hybrid,3,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8571428571428571,0.8571428571428572,0.8566138555148766,0.8566138555148765,0.011904761904761904,19,2,0,0,3,15,3,0,1,2,18,0,0,0,1,20
hybrid,3,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8690476190476191,0.8690476190476191,0.8700929152148664,0.8700929152148665,0.011904761904761904,16,5,0,0,2,18,1,0,1,1,19,0,0,0,1,20
hybrid,3,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.9047619047619048,0.9047619047619048,0.9052740863787376,0.9052740863787375,0.011904761904761904,20,1,0,0,1,19,1,0,1,2,18,0,0,0,2,19
hybrid,3,2000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8214285714285714,0.8214285714285714,0.8223191214470285,0.8223191214470285,0.03571428571428571,14,6,1,0,3,17,1,0,1,1,19,0,1,0,1,19
hybrid,3,2000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8809523809523809,0.8809523809523809,0.8829134366925064,0.8829134366925065,0.03571428571428571,18,3,0,0,1,19,1,0,1,2,18,0,2,0,0,19
hybrid,3,2000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8333333333333334,0.8333333333333334,0.8365633074935401,0.83656330749354,0.011904761904761904,17,4,0,0,1,17,3,0,1,3,17,0,0,0,2,19
hybrid,3,2000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.9047619047619048,0.9047619047619048,0.9057146753955264,0.9057146753955265,0.011904761904761904,17,4,0,0,0,20,1,0,1,2,18,0,0,0,0,21
hybrid,3,2000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8928571428571429,0.8928571428571429,0.8926115723923197,0.8926115723923198,0.011904761904761904,18,3,0,0,0,21,0,0,1,2,17,1,0,0,2,19
hybrid,3,5000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8809523809523809,0.8809523809523809,0.8806282581098237,0.8806282581098237,0.023809523809523808,17,3,1,0,2,17,2,0,1,1,19,0,0,0,0,21
hybrid,3,5000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.9285714285714286,0.9285714285714286,0.9291734860883798,0.9291734860883797,0.011904761904761904,18,3,0,0,0,21,0,0,1,2,18,0,0,0,0,21
hybrid,3,5000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.8452380952380952,0.8452380952380951,0.8473580477431568,0.8473580477431568,0.0,16,5,0,0,1,16,4,0,0,2,19,0,0,0,1,20
