variant,outer_fold,inner_fold,candidate_id,dimension,centroids_per_class,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
hybrid,3,3,candidate_006,2000,2,3,0.05,0.1,51,50,42,0.8192724683176376,0.8240740740740741,0.8240740740740741,0.046296296296296294,0.9259259259259259,0.6666666666666666,0.7037037037037037,1.0,0.13241439999546856,0.00046079998719505966,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":521}"
hybrid,3,1,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.8073733682685325,0.8129310344827586,0.8151260504201681,0.04201680672268908,0.9666666666666667,0.7333333333333333,0.5517241379310345,1.0,0.12598339997930452,0.0005132000078447163,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":127}"
hybrid,3,2,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.6338784183296379,0.644510582010582,0.6481481481481481,0.009259259259259259,0.5,0.8928571428571429,0.25925925925925924,0.9259259259259259,0.12478579999879003,0.00047140000970102847,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":166}"
hybrid,3,3,candidate_007,2000,2,3,0.1,0.0,51,50,42,0.7892543859649124,0.8055555555555556,0.8055555555555556,0.027777777777777776,0.8518518518518519,0.4074074074074074,0.9629629629629629,1.0,0.12858119999873452,0.0004878999898210168,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":145}"
hybrid,3,1,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.721752061148346,0.7477011494252873,0.7478991596638656,0.058823529411764705,1.0,0.26666666666666666,0.7241379310344828,1.0,0.13385159999597818,0.00052299999515526,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":435}"
hybrid,3,2,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.8019973819626252,0.8022741147741148,0.8055555555555556,0.018518518518518517,0.5384615384615384,0.8928571428571429,0.8518518518518519,0.9259259259259259,0.12873370002489537,0.0004676000098697841,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":448}"
hybrid,3,3,candidate_008,2000,2,3,0.1,0.1,51,50,42,0.820302033857021,0.824074074074074,0.8240740740740741,0.046296296296296294,0.8888888888888888,0.6666666666666666,0.7407407407407407,1.0,0.13186870000208728,0.0004729999927803874,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":463}"
hybrid,3,1,candidate_009,2000,3,1,0.05,0.0,51,50,42,0.8141710607940447,0.814367816091954,0.8151260504201681,0.01680672268907563,0.8333333333333334,0.7,0.7241379310344828,1.0,0.1721595000126399,0.0006168000109028071,0.038870500022312626,0.26397329999599606,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[5,25,23],""1"":[2,14,39],""2"":[20,26,8],""3"":[8,29,17]}},""updates"":45}"
hybrid,3,2,candidate_009,2000,3,1,0.05,0.0,51,50,42,0.8425282124640572,0.8413970288970288,0.8425925925925926,0.027777777777777776,0.6923076923076923,0.8214285714285714,0.9629629629629629,0.8888888888888888,0.1620703000226058,0.0005295000155456364,0.04067139999824576,0.2648621000116691,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,10,31],""1"":[24,29,4],""2"":[29,6,21],""3"":[24,13,20]}},""updates"":47}"
hybrid,3,3,candidate_009,2000,3,1,0.05,0.0,51,50,42,0.7212373561213813,0.7314814814814814,0.7314814814814815,0.06481481481481481,0.8518518518518519,0.5185185185185185,0.5925925925925926,0.9629629629629629,0.16647320002084598,0.0005281999765429646,0.03831840000930242,0.2609803999948781,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[7,33,16],""1"":[30,4,24],""2"":[29,10,17],""3"":[26,25,6]}},""updates"":34}"
