variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
onlinehd,3,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.588126602301992,0.588126602301992,0.721429681776882,0.5836313714010455,0.9257174022315672
onlinehd,3,1000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.3181561617865662,0.3181561617865662,0.43345096589078785,0.8496962081346744,0.9195693739435017
onlinehd,3,1000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.4422400978680356,0.4422400978680356,0.5982898374603193,0.7136394163133639,0.9077124622450897
onlinehd,3,1000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.39761145795979336,0.39761145795979336,0.5880844023918967,0.7233253885306925,0.9028818685901812
onlinehd,3,1000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.3443883198994645,0.3443883198994645,0.4920396885597789,0.8063175559055966,0.9239608227206912
onlinehd,3,2000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.39952354504611937,0.39952354504611937,0.546234275176412,0.7613024932979999,0.9099081866336846
onlinehd,3,2000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.8385038368450003,0.8385038368450003,0.9966028568923184,0.20542619650725524,0.927034836864724
onlinehd,3,2000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.46966566545630717,0.46966566545630717,0.5941368887699953,0.7176010859221682,0.8967338403021159
onlinehd,3,2000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.4923128606315926,0.4923128606315926,0.6532625393404072,0.6585984437556183,0.8589673808182853
onlinehd,3,2000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.5329795354539728,0.5329795354539728,0.6716693319905063,0.6390882467707416,0.8677502783726645
onlinehd,3,5000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.26710984421087086,0.26710984421087086,0.3989576030289495,0.8726662647883161,0.9410874729517307
onlinehd,3,5000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.35466383388113026,0.35466383388113026,0.47465324748478516,0.8197634357217178,0.938452603685417
onlinehd,3,5000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.2716158315542688,0.2716158315542688,0.3996979018656352,0.8721932697953673,0.9252782573538483
onlinehd,3,5000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.307279470587775,0.307279470587775,0.4279964838407148,0.8534552078559878,0.9432831973403254
onlinehd,3,5000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.26190891022575474,0.26190891022575474,0.39462106811323416,0.8754193700809362,0.9292305612533188
onlinehd,3,10000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.5202199899124326,0.5202199899124326,0.6693944286669288,0.6415288790957407,0.8620413949623179
onlinehd,3,10000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.5599847028253281,0.5599847028253281,0.6828309891052449,0.6269934722540424,0.9432831973403254
onlinehd,3,10000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.40805950048692796,0.40805950048692796,0.5523150624209461,0.7559584574583571,0.9274739817424431
onlinehd,3,10000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.37568386161531586,0.37568386161531586,0.5055584491656334,0.7955285235817917,0.9265956919870051
onlinehd,3,10000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,0.4814809658932446,0.4814809658932446,0.632374762913462,0.6800817273841142,0.9305479958864759
