variant,outer_fold,inner_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
onlinehd,2,1,candidate_001,2000,1,0.05,0.0,51,50,42,0.6932793003565063,0.7112068965517242,0.7142857142857143,0.06722689075630252,0.7666666666666667,0.8,0.3448275862068966,0.9333333333333333,0.014729699993040413,0.0006450999935623258,0.03699369999230839,0.2743043999944348,32000,float32,int8,0,"{""epochs"":1,""updates"":92}"
onlinehd,2,2,candidate_001,2000,1,0.05,0.0,51,50,42,0.6234337680816794,0.6574074074074074,0.6574074074074074,0.1111111111111111,0.48148148148148145,0.18518518518518517,0.9629629629629629,1.0,0.016602299991063774,0.0004288000054657459,0.04183880001073703,0.264037000015378,32000,float32,int8,0,"{""epochs"":1,""updates"":95}"
onlinehd,2,3,candidate_001,2000,1,0.05,0.0,51,50,42,0.6037599646707129,0.6666666666666666,0.6666666666666666,0.037037037037037035,0.8888888888888888,0.037037037037037035,0.9629629629629629,0.7777777777777778,0.015553300007013604,0.00037230001180432737,0.03447650000452995,0.26601510000182316,32000,float32,int8,0,"{""epochs"":1,""updates"":112}"
onlinehd,2,1,candidate_002,2000,1,0.05,0.1,51,50,42,0.6954933812990078,0.7034482758620689,0.7058823529411765,0.008403361344537815,0.5,0.9,0.41379310344827586,1.0,0.01542489998973906,0.0005072999920230359,0.03699369999230839,0.2743043999944348,32000,float32,int8,0,"{""epochs"":1,""updates"":145}"
onlinehd,2,2,candidate_002,2000,1,0.05,0.1,51,50,42,0.6673160173160173,0.7222222222222222,0.7222222222222222,0.027777777777777776,0.8888888888888888,0.1111111111111111,0.9259259259259259,0.9629629629629629,0.015900200000032783,0.00037739999243058264,0.04183880001073703,0.264037000015378,32000,float32,int8,0,"{""epochs"":1,""updates"":137}"
onlinehd,2,3,candidate_002,2000,1,0.05,0.1,51,50,42,0.39459986987638257,0.5092592592592593,0.5092592592592593,0.24074074074074073,1.0,0.0,0.037037037037037035,1.0,0.01637639998807572,0.00037150000571273267,0.03447650000452995,0.26601510000182316,32000,float32,int8,0,"{""epochs"":1,""updates"":161}"
onlinehd,2,1,candidate_003,2000,1,0.1,0.0,51,50,42,0.6951846054002293,0.7129310344827586,0.7142857142857143,0.01680672268907563,0.36666666666666664,0.9333333333333333,0.5517241379310345,1.0,0.014705199981108308,0.0004017000028397888,0.03699369999230839,0.2743043999944348,32000,float32,int8,0,"{""epochs"":1,""updates"":94}"
onlinehd,2,2,candidate_003,2000,1,0.1,0.0,51,50,42,0.6892342074080442,0.7222222222222222,0.7222222222222222,0.037037037037037035,0.2222222222222222,0.7777777777777778,1.0,0.8888888888888888,0.01569780000136234,0.0003986999799963087,0.04183880001073703,0.264037000015378,32000,float32,int8,0,"{""epochs"":1,""updates"":95}"
onlinehd,2,3,candidate_003,2000,1,0.1,0.0,51,50,42,0.4309113300492611,0.5277777777777778,0.5277777777777778,0.0,0.037037037037037035,1.0,0.07407407407407407,1.0,0.015712699998402968,0.0003708000003825873,0.03447650000452995,0.26601510000182316,32000,float32,int8,0,"{""epochs"":1,""updates"":119}"
onlinehd,2,1,candidate_004,2000,1,0.1,0.1,51,50,42,0.5529253891572732,0.5890804597701149,0.5882352941176471,0.1092436974789916,0.5333333333333333,0.13333333333333333,0.6896551724137931,1.0,0.015447499987203628,0.0004008999967481941,0.03699369999230839,0.2743043999944348,32000,float32,int8,0,"{""epochs"":1,""updates"":143}"
