outer_fold,best_candidate_id,selected_k,selected_n_estimators,selected_learning_rate,selected_max_depth,best_inner_macro_f1,best_inner_macro_f1_std,outer_macro_f1,outer_balanced_accuracy,outer_accuracy,outer_weighted_f1,recall_class_0,recall_class_1,recall_class_2,recall_class_3,refit_time,inference_time
1,,200,200,0.1,2,,,0.9172118785105055,0.9166666666666667,0.9166666666666666,0.9172118785105055,0.9047619047619048,0.8095238095238095,0.9523809523809523,1.0,109.30374389999633,0.02609120000124676
2,5.0,200,100,0.05,2,0.9465146042617052,0.01248806664656,0.9163560489425493,0.9188311688311688,0.9166666666666666,0.9157348134943144,1.0,0.8181818181818182,0.9047619047619048,0.9523809523809523,4.897131699995953,0.022306100006971974
3,6.0,200,100,0.1,2,0.943604512548432,0.013696851136568,0.9520297272211623,0.9523809523809523,0.9523809523809523,0.9520297272211623,1.0,0.9047619047619048,0.9047619047619048,1.0,4.937579500001448,0.025166100000205915
4,5.0,200,100,0.05,2,0.925662087107176,0.0312398234440542,0.9301582122366852,0.9285714285714286,0.9285714285714286,0.9301582122366852,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,4.904620400004205,0.023019500004011206
5,8.0,200,200,0.1,2,0.9340901623533236,0.0292599893711502,0.9636837236312562,0.9636904761904761,0.963855421686747,0.9638485877713918,0.9523809523809523,0.9523809523809523,0.95,1.0,9.8304991999903,0.025016500003403053
